hatsune_miku	long_hair,twintails,1girl,solo,very_long_hair,aqua_hair,looking_at_viewer,smile,skirt,aqua_eyes,shirt,necktie,detached_sleeves,thighhighs,open_mouth,hair_ornament,blue_eyes,blue_hair,blush,breasts,sleeveless,bare_shoulders,hair_between_eyes,simple_background,white_background,sleeveless_shirt,holding,long_sleeves,pleated_skirt,black_skirt,multiple_girls,dress,collared_shirt,green_hair,white_shirt,ribbon,headphones,full_body,bow,boots,gloves,closed_mouth,black_thighhighs,black_sleeves,grey_shirt,nail_polish,sitting,standing,tattoo,headset,green_eyes,aqua_necktie,upper_body,flower,navel,zettai_ryouiki,medium_breasts,thigh_boots,jewelry,2girls,miniskirt,heart,hair_ribbon,pink_hair,closed_eyes,:d,ahoge,striped_clothes,cowboy_shot,hat,small_breasts,frills,underwear,floating_hair,food,black_footwear,aqua_nails,hair_bow,one_eye_closed,panties,multicolored_hair,teeth,jacket,blonde_hair,blue_necktie,short_hair,collarbone,sidelocks,hand_up,sky,pantyhose,hair_flower,number_tattoo,swimsuit,shorts,short_sleeves,animal_ears,parted_lips,shoes,microphone
hakurei_reimu	bow,hair_bow,hair_tubes,detached_sleeves,long_hair,multiple_girls,brown_hair,red_bow,1girl,skirt,solo,ascot,smile,blush,open_mouth,frills,blonde_hair,hat,2girls,red_eyes,brown_eyes,looking_at_viewer,shirt,black_hair,wide_sleeves,short_hair,ribbon,red_skirt,breasts,ribbon_trim,long_sleeves,ribbon-trimmed_sleeves,frilled_bow,holding,bare_shoulders,yellow_ascot,dress,sidelocks,braid,witch_hat,simple_background,gohei,closed_eyes,skirt_set,yellow_eyes,frilled_hair_tubes,vest,white_background,comic,closed_mouth,japanese_clothes,hair_ornament,navel,short_sleeves,hair_ribbon,red_shirt,sleeveless,sitting,monochrome,hair_between_eyes,blue_eyes,white_sleeves,socks,wings,green_hair,apron,medium_breasts,yuri,single_braid,greyscale,6+girls,puffy_sleeves,nontraditional_miko,full_body,shoes,3girls,blue_hair,standing,upper_body,white_shirt,animal_ears,large_breasts,sleeveless_shirt,medium_hair,hat_bow,food,midriff,sarashi,:d,ofuda,ponytail,frilled_shirt_collar,very_long_hair,collared_shirt,alternate_costume,frilled_skirt,one_eye_closed,purple_hair,horns,flower
kirisame_marisa	blonde_hair,hat,long_hair,multiple_girls,bow,witch_hat,braid,hair_bow,yellow_eyes,smile,1girl,open_mouth,blush,2girls,solo,single_braid,skirt,apron,shirt,hat_bow,short_hair,ribbon,short_sleeves,dress,looking_at_viewer,frills,vest,hair_tubes,puffy_sleeves,detached_sleeves,brown_hair,waist_apron,white_bow,side_braid,long_sleeves,broom,closed_eyes,blue_eyes,white_shirt,holding,red_eyes,breasts,puffy_short_sleeves,comic,red_bow,simple_background,ascot,black_vest,star_(symbol),hairband,white_background,brown_eyes,black_skirt,black_hat,hair_between_eyes,monochrome,hair_ribbon,sitting,yuri,closed_mouth,black_hair,wings,socks,6+girls,greyscale,white_apron,skirt_set,hair_ornament,black_dress,3girls,shoes,one_eye_closed,capelet,purple_hair,wide_sleeves,:d,no_headwear,animal_ears,green_hair,blue_hair,gloves,alternate_costume,grin,food,book,full_body,very_long_hair,upper_body,hat_ribbon,underwear,buttons,green_eyes,red_skirt,ribbon_trim,standing,broom_riding,medium_breasts,frilled_bow,heart,boots
flandre_scarlet	blonde_hair,wings,red_eyes,hat,1girl,solo,mob_cap,ribbon,smile,open_mouth,side_ponytail,looking_at_viewer,short_hair,skirt,multiple_girls,ascot,short_sleeves,bow,blush,crystal,puffy_sleeves,shirt,vest,hat_ribbon,puffy_short_sleeves,long_hair,frills,fang,one_side_up,red_skirt,simple_background,dress,2girls,red_vest,white_hat,white_shirt,bat_wings,red_ribbon,yellow_ascot,hair_between_eyes,skirt_set,white_background,wrist_cuffs,breasts,blue_hair,red_bow,holding,siblings,hair_bow,sisters,sitting,thighhighs,hat_bow,:d,heart,pointy_ears,frilled_shirt_collar,alternate_costume,closed_eyes,socks,shoes,full_body,medium_hair,closed_mouth,purple_hair,underwear,collared_shirt,hair_ribbon,braid,long_sleeves,upper_body,frilled_skirt,food,no_headwear,small_breasts,navel,standing,jewelry,laevatein_(touhou),6+girls,red_dress,multicolored_wings,grey_hair,flower,cowboy_shot,one_eye_closed,twin_braids,comic,panties,blue_eyes,maid_headdress,fangs,red_hair,bare_shoulders,star_(symbol),chibi,white_socks,frilled_sleeves,red_footwear,maid
remilia_scarlet	wings,hat,red_eyes,bat_wings,short_hair,multiple_girls,blue_hair,1girl,solo,ribbon,smile,mob_cap,open_mouth,dress,bow,looking_at_viewer,2girls,blush,short_sleeves,blonde_hair,purple_hair,hat_ribbon,ascot,puffy_sleeves,skirt,shirt,fang,frills,long_hair,wrist_cuffs,puffy_short_sleeves,braid,simple_background,red_ribbon,jewelry,breasts,grey_hair,hair_between_eyes,siblings,sisters,maid_headdress,white_background,pointy_ears,twin_braids,closed_eyes,comic,hair_bow,holding,red_bow,sitting,alternate_costume,maid,brooch,side_ponytail,blue_eyes,long_sleeves,6+girls,pink_dress,monochrome,closed_mouth,red_ascot,:d,skirt_set,thighhighs,hat_bow,shoes,greyscale,white_shirt,apron,vest,full_body,flower,red_hair,purple_eyes,upper_body,underwear,food,frilled_shirt_collar,pink_hat,hair_ribbon,standing,heart,chibi,small_breasts,3girls,socks,one_eye_closed,no_headwear,white_hat,fangs,moon,collared_shirt,crystal,bare_shoulders,cup,crescent,animal_ears,navel,slit_pupils,pink_shirt
artoria_pendragon_(fate)	blonde_hair,1girl,breasts,ahoge,solo,looking_at_viewer,long_hair,green_eyes,blush,braid,smile,hair_between_eyes,ribbon,multiple_girls,sidelocks,yellow_eyes,dress,short_hair,cleavage,large_breasts,ponytail,open_mouth,long_sleeves,holding,hair_ribbon,weapon,navel,thighhighs,medium_breasts,bare_shoulders,gloves,swimsuit,hair_bun,hat,blue_eyes,sword,simple_background,jacket,armor,2girls,1boy,bow,closed_mouth,white_background,bikini,shirt,thighs,pantyhose,skirt,small_breasts,sitting,standing,collarbone,ass,hair_bow,gauntlets,holding_weapon,single_hair_bun,black_thighhighs,armored_dress,jewelry,nipples,alternate_costume,food,cape,animal_ears,baseball_cap,excalibur_(fate/stay_night),official_alternate_costume,blue_ribbon,braided_bun,underwear,twintails,leotard,closed_eyes,fur_trim,crown,open_clothes,sky,black_gloves,outdoors,white_hair,clothing_cutout,parted_lips,holding_sword,hetero,black_hair,white_bikini,choker,sweat,glasses,boots,white_shirt,cowboy_shot,cosplay,black_ribbon,monochrome,multiple_boys,rabbit_ears,full_body
izayoi_sakuya	braid,maid_headdress,twin_braids,multiple_girls,grey_hair,short_hair,maid,1girl,blue_eyes,bow,hat,solo,apron,smile,red_eyes,hair_bow,ribbon,long_hair,dress,breasts,blush,open_mouth,wings,2girls,short_sleeves,looking_at_viewer,puffy_sleeves,knife,shirt,blonde_hair,skirt,holding,bat_wings,white_hair,blue_hair,frills,puffy_short_sleeves,red_hair,waist_apron,comic,closed_eyes,blue_dress,thighhighs,purple_hair,green_bow,simple_background,6+girls,hair_ribbon,large_breasts,long_sleeves,monochrome,medium_breasts,maid_apron,mob_cap,white_shirt,white_background,hair_between_eyes,wrist_cuffs,vest,ascot,star_(symbol),greyscale,weapon,gloves,underwear,white_apron,alternate_costume,closed_mouth,sitting,animal_ears,purple_eyes,standing,3girls,yuri,hairband,panties,food,shoes,fang,:d,hair_ornament,one_eye_closed,hat_ribbon,chibi,pantyhose,cup,brown_hair,detached_sleeves,medium_hair,holding_knife,heart,book,green_eyes,nipples,full_body,crescent,upper_body,frilled_apron,bowtie,skirt_set
komeiji_koishi	hat,third_eye,1girl,heart,green_hair,green_eyes,solo,shirt,skirt,smile,long_sleeves,short_hair,frills,open_mouth,ribbon,bow,wide_sleeves,looking_at_viewer,multiple_girls,blush,yellow_shirt,heart_of_string,hat_ribbon,green_skirt,black_hat,hat_bow,eyeball,frilled_sleeves,frilled_shirt_collar,2girls,simple_background,yellow_ribbon,long_hair,hair_between_eyes,yellow_bow,buttons,medium_hair,pink_hair,blouse,hairband,breasts,white_background,diamond_button,siblings,sisters,grey_hair,closed_eyes,closed_mouth,holding,red_eyes,flower,:d,upper_body,collared_shirt,floral_print,blonde_hair,pink_eyes,full_body,sitting,wings,blue_eyes,dress,hair_ornament,animal_ears,one_eye_closed,thighhighs,rose,boots,frilled_skirt,hair_bow,white_hair,purple_hair,standing,black_footwear,wavy_hair,sleeves_past_wrists,cat_ears,blue_shirt,symbol-shaped_pupils,purple_eyes,underwear,alternate_costume,cowboy_shot,short_sleeves,rose_print,tail,heart-shaped_pupils,food,braid,black_thighhighs,small_breasts,medium_breasts,monochrome,navel,black_hair,heart_hair_ornament,6+girls,no_headwear,pink_skirt,socks
cirno	blue_hair,bow,wings,hair_bow,blue_eyes,short_hair,1girl,ice,dress,solo,multiple_girls,ice_wings,smile,open_mouth,blue_bow,ribbon,blue_dress,short_sleeves,blush,shirt,looking_at_viewer,hat,puffy_sleeves,puffy_short_sleeves,white_shirt,blonde_hair,2girls,long_hair,green_hair,skirt,closed_eyes,simple_background,hair_ribbon,red_eyes,red_ribbon,white_background,breasts,barefoot,6+girls,sleeveless,food,collared_shirt,neck_ribbon,hair_between_eyes,holding,:d,comic,sitting,sleeveless_dress,long_sleeves,full_body,fairy_wings,green_eyes,closed_mouth,shoes,animal_ears,red_bow,socks,side_ponytail,pinafore_dress,vest,ascot,underwear,fang,flower,fairy,frills,brown_hair,standing,hair_ornament,one_eye_closed,chibi,black_hair,detached_wings,alternate_costume,braid,bowtie,ahoge,outdoors,purple_hair,monochrome,sky,detached_sleeves,3girls,upper_body,greyscale,witch_hat,small_breasts,grey_hair,navel,pink_hair,red_hair,heart,day,v-shaped_eyebrows,antennae,4koma,tail,cloud,skirt_set
konpaku_youmu	short_hair,hairband,1girl,solo,black_hairband,ribbon,grey_hair,skirt,blue_eyes,weapon,sword,white_hair,blush,shirt,multiple_girls,bow,hair_ribbon,vest,looking_at_viewer,open_mouth,smile,short_sleeves,katana,hitodama,white_shirt,breasts,hat,holding,green_vest,green_skirt,green_eyes,black_ribbon,long_sleeves,simple_background,puffy_sleeves,2girls,bowtie,sheath,black_bow,white_background,ghost,long_hair,collared_shirt,skirt_set,puffy_short_sleeves,pink_hair,hair_bow,red_eyes,closed_mouth,dress,frills,animal_ears,socks,closed_eyes,bob_cut,blonde_hair,black_bowtie,standing,japanese_clothes,holding_weapon,alternate_costume,sitting,holding_sword,underwear,shoes,6+girls,triangular_headpiece,thighhighs,comic,medium_breasts,flower,full_body,navel,small_breasts,sheathed,hair_between_eyes,scabbard,rabbit_ears,upper_body,food,mob_cap,monochrome,ascot,cowboy_shot,kimono,purple_hair,panties,hair_ornament,petals,wide_sleeves,cherry_blossoms,blunt_bangs,brown_hair,wings,green_hair,braid,blue_hair,tail,detached_sleeves,greyscale
