simple_background	white_background,grey_background,brown_background,yellow_background,aqua_background,black_background,food_focus,chemical_structure,red_background,orange_background,green_background,pink_background,blue_background,grey_tail,fumo_(doll),puff_of_air,clover_print,purple_background,in_trash_can,floating_skull,praying_mantis,fox_shadow_puppet,tooth,ring-con,earth_(ornament),alcohol_carton,greek_cross,chupa_chups,crescent_pin,haniwa_(statue),grey_cat,white_theme,fish_bone,shadow,star_of_david,mop,feather_duster,flaming_skull,inverted_cross,egg_yolk,pentagram,paw_print,cheese_trail,stick,baseball_(object),large_syringe,chisel,brown_cat,cartoon_bone,tit_(bird),paw_print_background,tomato_slice,heart-shaped_lock,stuffed_shark,ehoumaki,ambrosia_(dungeon_meshi),lightning_bolt_symbol,lit_fuse,arrow_(symbol),diamond_(shape),creature_on_head,cat_on_shoulder,exercise_ball,audio_jack,square,mousetrap,rose_print,pizza_slice,crystal,stuffed_whale,core,circular_saw,milk_bottle,screw,turtle_shell,food_wrapper,holding_fish,mane,enpera,fish_skeleton,detonator,sauce,planted_umbrella,grey_bag,horseshoe,red_cross,holding_envelope,makizushi,broken_heart,bacon,stuffed_fish,duster,two-tone_background,tomoe_(symbol),donut,dusk_ball,liquid,chewing_gum,grey_flower,spiked_shell
white_background	simple_background,two-tone_background,white_theme,chemical_structure,fumo_(doll),grey_tail,food_focus,alcohol_carton,square,circle,cartoon_bone,paw_print_background,puff_of_air,shadow,fox_shadow_puppet,grey_cat,grid_background,tit_(bird),triangle,greek_cross,crescent_pin,planted_umbrella,ring-con,inverted_cross,haniwa_(statue),paw_print,stuffed_shark,creature_on_head,fish_bone,holding_envelope,pentagram,arrow_(symbol),exercise_ball,mousetrap,mop,baseball_(object),earth_(ornament),mane,large_syringe,electric_plug,stuffed_whale,grey_bag,diamond_(shape),in_box,lightning_bolt_symbol,heart-shaped_lock,food_wrapper,arrow_through_heart,ehoumaki,clover_print,pizza_slice,cat_on_shoulder,stopwatch,bubble_tea,ink_tank_(splatoon),musical_note_print,blood_bag,tooth,donut,crumbs,star_of_david,green_flower,cheese_trail,makizushi,holding_fish,twig,baby_bottle,vegetable,cat_print,stick,crystal,duster,cloud_print,smokestack,enpera,grey_flower,red_cross,holding_hose,broken_heart,flower_in_mouth,horseshoe,floral_background,qingxin_flower,ambrosia_(dungeon_meshi),shrimp_tempura,soft_serve,oversized_food,vodka,otter,fender_stratocaster,chewing_gum,strong_zero,rose_print,black_flower,snowflake_print,yin_yang_orb,test_tube,blob,heart,milk_bottle
heart	ace_of_hearts,broken_heart,heart-shaped_cake,heart-shaped_chocolate,heart-shaped_pillow,heart-shaped_food,shaped_lollipop,club_(shape),ace_(playing_card),arrow_through_heart,chocolate,love_letter,box_of_chocolates,heart-shaped_lock,rose_print,heart-shaped_box,ace_of_spades,joker_(playing_card),cardiogram,window_(computing),pill,heartbeat,heart_balloon,yes-no_pillow,playing_card,large_syringe,chocolate_cake,frilled_pillow,omurice,sprinkles,mixing_bowl,candy,stained_sheets,checkerboard_cookie,earth_(ornament),heart_straw,cursor,whisk,grid_background,ketchup_bottle,holding_envelope,pastry_bag,baby_bottle,pendulum,diamond_(shape),icing,chocolate_bar,pink_background,pregnancy_test,omelet,cupcake,candy_wrapper,speech_bubble,envelope,crazy_straw,letter,macaron,stripper_pole,thought_bubble,doily,perfume_bottle,gift_bag,sweets,green_rose,lube,wafer_stick,gift_box,polka_dot_background,whipped_cream,cookie,ketchup,snowflake_print,stuffed_unicorn,strawberry,wrapped_candy,holed_coin,blood_bag,cream,swirl_lollipop,blueberry,marshmallow,cream_on_face,box,condensation,string_of_fate,balloon,used_tissue,stuffed_rabbit,strawberry_shortcake,sparkle_background,lock,electric_plug,corded_phone,arrow_(symbol),cake_slice,cherry,bad_food,banknote,glory_wall,pudding
flower	anemone_(flower),bellflower,bird_of_paradise_flower,black_flower,black_rose,blue_rose,bougainvillea_(flower),brown_flower,brown_rose,camellia,chrysanthemum,clematis_(flower),clover_(flower),cosmos_(flower),daisy,dandelion,dogwood_(flower),elpis_flower,flower_field,flower_focus,freesia_(flower),gentiana_(flower),green_flower,green_rose,grey_flower,grey_rose,hibiscus,hydrangea,iris_(flower),lavender_(flower),lily_(flower),lily_of_the_valley,lotus,morning_glory,multicolored_flower,nemophila_(flower),orange_flower,orange_rose,pansy,peony_(flower),pink_rose,pink_tulip,plum_blossoms,poinsettia,purple_rose,qingxin_flower,red_carnation,red_rose,rose,spider_lily,strawberry_blossoms,sunflower_field,tulip,violet_(flower),water_lily_flower,white_rose,white_spider_lily,wisteria,yellow_rose,lobelia_(flower),baby's-breath,gerbera,white_lily,garden_of_the_sun,plumeria,too_many_flowers,floral_arch,magnolia,glowing_flower,marigold,cecilia_flower_(genshin_impact),artificial_flower,bud,flower_on_liquid,rose_bush,wilted_flower,lotus_pod,bouquet,chamomile,flower_shop,flower_in_mouth,rapeseed_blossoms,gold_osmanthus,flower_basket,lotus_leaf,silent_princess,flower_bed,dandelion_seed,red_spider_lily,field,yellow_petals,purple_petals,biwa_lute,flower_wreath,vase,thorns,rose_petals,red_petals,garden,dew_drop
outdoors	retaining_wall,snowscape,traffic_mirror,dirt_road,post_and_rail_fence,transformer,horizon,power_lines,transmission_tower,savannah,cumulonimbus_cloud,path,rice_paddy,park,canal,mountainous_horizon,utility_pole,seascape,overhead_line,palm_tree,multi-lane_road,meadow,beach,hill,landscape,railroad_signal,lake,valley,overpass,day,sidewalk,pedestrian_bridge,drainpipe,streetcar,railroad_crossing,road,awning,beach_umbrella,cloud_focus,guard_rail,sunflower_field,clear_sky,coconut_tree,sand,overcast,european_architecture,shore,ocean,tile_roof,stepping_stones,manhole_cover,conifer,traffic,wooden_bridge,blue_sky,lamppost,playground,street,riverbank,under_tree,tall_grass,river,farm,stone_stairs,crosswalk,cloudy_sky,stone_walkway,fir_tree,grey_sky,spire,lighthouse,scenery,corrugated_galvanized_iron_sheet,windmill,traffic_barrier,pier,mountain,palm_leaf,brown_sky,multiple_unit_train,wooden_fence,town,gazebo,village,cliff,grasslands,giant_tree,railroad_tracks,white_sky,island,house,wheat_field,sand_sculpture,manhole,hedge,pavement,sand_writing,tropical,bicycle_basket,storefront
sky	black_sky,blue_sky,clear_sky,cloudy_sky,gradient_sky,green_sky,grey_sky,multicolored_sky,night_sky,orange_sky,overcast,pink_sky,purple_sky,red_sky,starry_sky,white_sky,yellow_sky,cloud_focus,cumulonimbus_cloud,cloud,orange_clouds,seascape,milky_way,horizon,contrail,star_(sky),transmission_tower,pink_clouds,meteor_shower,hill,shooting_star,mountainous_horizon,flying_whale,radio_tower,comet,wind_turbine,island,landscape,transformer,spire,power_lines,dark_clouds,lighthouse,traffic_mirror,twilight,coconut_tree,floating_island,aurora,windmill,multiple_moons,mountain,dawn,garden_of_the_sun,valley,dirt_road,ocean,meadow,sailboat,sun,rice_paddy,flock,utility_pole,seagull,falling_star,palm_tree,sunflower_field,european_architecture,sky_lantern,grasslands,shore,simple_bird,star_trail,sunrise,post_and_rail_fence,skyline,day,hot_air_balloon,cliff,lantern_festival,harbor,savannah,evening,night,satellite_dish,railroad_crossing,dusk,field,wheat_field,overpass,skyscraper,nebula,pier,scenery,town,guard_rail,tower,airship,dirigible,village,rooftop
food	anpan,apple,apple_core,apple_pie,apple_rabbit,bacon,baguette,banana,banana_slice,baozi,birthday_cake,bitten_apple,blueberry,boned_meat,bread,bread_slice,burger,butter,cake,cake_slice,candy,candy_apple,candy_bar,candy_cane,cantaloupe,char-siu,checkerboard_cookie,cheese,cheesecake,cherry,chicken_(food),chicken_leg,chikuwa,chips_(food),chocolate_bar,chocolate_cake,chocolate_chip_cookie,chocolate_cornet,chocolate_doughnut,cookie,cracker,cream_on_face,cream_puff,crepe,croissant,cupcake,curry,curry_rice,dango,dessert,donut,dorayaki,double_scoop,doughnut,dumpling,egg_(food),ehoumaki,food_art,french_cruller,french_fries,fried_chicken,fried_egg_on_toast,fried_rice,fruit,gelatin,golden_apple,grapes,green_apple,gummy_bear,gunkanmaki,gyuudon,ham,heart-shaped_cake,heart-shaped_chocolate,heart-shaped_food,holding_cake,holding_donut,ice_cream,ice_cream_cone_spill,ice_cream_float,inarizushi,jelly_bean,jiaozi,kamaboko,kebab,kiwi_(fruit),kiwi_slice,layer_cake,lemon,lemon_slice,lime_(fruit),lime_slice,loaf_of_bread,lollipop,macaron,makizushi,mandarin_orange,mango,mapo_tofu,marshmallow
indoors	living_room,skylight,classroom,kitchen_hood,floor_lamp,ceiling,wainscoting,ceiling_light,tile_ceiling,loaded_interior,bedroom,muntins,wooden_ceiling,cabinet,wallpaper_(object),ceiling_fan,wall_clock,chest_of_drawers,desk_lamp,window_blinds,lampshade,cupboard,rug,towel_rack,shelf,otaku_room,nightstand,drawer,coffee_table,hanging_light,school_chair,light_switch,wardrobe,bulletin_board,gym_storeroom,soap_bottle,messy_room,kitchen,power_strip,fluorescent_lamp,window,digital_clock,vanity_table,school_desk,curtains,office,fireplace,carpet,tavern,window_shadow,getabako,chandelier,flat_screen_tv,bookshelf,calendar_(object),open_window,wooden_floor,mousepad_(object),vaulting_horse,sink,dressing_room,chalkboard,wall_lamp,headboard,electrical_outlet,counter,potted_plant,whiteboard,clothes_rack,microwave,chabudai_(table),laundromat,hotel_room,see-through_curtains,supermarket,desk,sticky_note,vase,lamp,booth_seating,andon_(lighting),closet,fusuma,bathroom,school,board_eraser,oven,grandfather_clock,coffee_maker,restaurant,computer_tower,faucet,heater,washing_machine,hallway,windowsill,full-length_mirror,glass_door,tile_wall,diner
day	blue_sky,horizon,contrail,savannah,garden_of_the_sun,beach_umbrella,palm_tree,beach,cumulonimbus_cloud,ocean,empty_pool,dirt_road,cloud,clear_sky,meadow,sunflower_field,sand,beach_mat,palm_leaf,lounge_chair,sand_sculpture,tropical_drink,blue_hawaii,island,coconut_tree,tropical,starting_block,sand_castle,seagull,gazebo,volleyball_net,cloud_focus,wind_turbine,cloudy_sky,sailboat,path,sky,shore,outdoors,valley,traffic_mirror,sunlight,beach_chair,pier,canal,sunbeam,dappled_sunlight,beachball,rice_paddy,inflatable_dolphin,spring_(season),giant_tree,farm,cocktail_umbrella,japari_bus,windmill,hill,floating_island,yellow_innertube,chain-link_fence,sunscreen,mountainous_horizon,tree_shade,stone_stairs,awning,water_slide,hot_air_balloon,european_architecture,cooler,overgrown,sun,hurricane_glass,tile_roof,mountain,banana_boat,hibiscus,landscape,hedge,hammock,cliff,lighthouse,town,drainpipe,lens_flare,overhead_line,park,white_sky,canyon,wooden_bridge,field,surfboard,moss,river,village,simple_bird,railroad_crossing,bicycle_basket,bush,green_innertube,fence
cloud	cloud_focus,cloudy_sky,cumulonimbus_cloud,dark_clouds,orange_clouds,contrail,on_cloud,horizon,pink_clouds,blue_sky,island,floating_island,hill,flying_whale,transmission_tower,multicolored_sky,garden_of_the_sun,sky,sailboat,wind_turbine,dirt_road,landscape,transformer,coconut_tree,mountainous_horizon,windmill,rice_paddy,lighthouse,seagull,yellow_sky,sun,spire,mountain,gradient_sky,flock,ocean,sunflower_field,hot_air_balloon,flying_nimbus,valley,green_sky,cliff,grasslands,simple_bird,orange_sky,airship,power_lines,meadow,dawn,traffic_mirror,sunrise,railroad_crossing,palm_tree,twilight,pink_sky,railroad_signal,day,harbor,giant_tree,utility_pole,pier,dirigible,evening,dusk,beach_umbrella,sunset,scenery,savannah,tower,palm_leaf,purple_sky,empty_pool,field,jet_airliner,guard_rail,sail,sand,satellite_dish,sand_sculpture,dock,sand_castle,european_architecture,beach,storm,village,fighter_jet,shore,path,town,lake,aircraft_carrier,farm,canyon,wheat_field,tile_roof,flower_field,dome,overhead_line,skyline,house
