censored	mosaic_censoring,bar_censor,heart_censor,motion_lines,cross-section,novelty_censor,sound_effects,x-ray,blur_censor,blank_censor,monochrome,greyscale,comic,censored_identity,multiple_views,convenient_censoring,character_censor,motion_blur,scribble_censor,dutch_angle,censored_text,official_alternate_costume,tally,patreon_username,transparent_censoring,take_your_pick,blurry,3d_background,censored_by_text,artist_name,fanbox_username,afterimage,web_address,light_censor,2koma,watermark,english_text,defeat,foreshortening,patreon_logo,korean_text,through_wall,fake_censor,close-up,viewfinder,censored_profanity,sketch,signature,smell,juxtaposition,sample_watermark,twitter_username,depth_of_field,queen_of_spades_symbol,dated,censored_violence,ishikei_(style),livestream,bad_anatomy,chinese_text,battery_indicator,pornography,hair_censor,afterglow,change_in_common_sense,jaggy_lines,oekaki,procreate_(software),fake_screenshot,taker_pov,sex_ed,spot_color,subscribestar_username,profanity,fake_phone_screenshot,harvin,pixel_art,artistic_error,gumroad_username,cover,art_program_in_frame,cover_page,letterboxed,fake_video,3koma,doujin_cover,blank_speech_bubble,lower_body,inset,3d,official_alternate_hair_length,mars_symbol,crotch_focus,keep_out,page_number,reverse_netorare,meme,material_growth,silent_comic,pixiv_logo
artist_name	patreon_username,signature,web_address,watermark,dated,twitter_username,patreon_logo,english_text,uncensored,character_name,twitter_logo,artist_logo,copyright_name,logo,blurry,fanbox_username,pixiv_logo,white_border,deviantart_username,instagram_logo,outside_border,pixiv_username,multiple_views,official_alternate_costume,instagram_username,twitter_x_logo,depth_of_field,realistic,3d,chibi,outline,pixiv_id,facebook_username,meme,censored,subscribestar_username,portrait,monochrome,gumroad_username,white_outline,dutch_angle,one-hour_drawing_challenge,crossover,cover,weibo_watermark,facebook_logo,page_number,tumblr_username,mosaic_censoring,commissioner_name,comic,chromatic_aberration,greyscale,manga_cover,cover_page,copyright_notice,adapted_costume,thank_you,motion_lines,artstation_username,subtitled,blurry_foreground,2022,sketch,deviantart_logo,close-up,company_name,sample_watermark,alternate_color,foreshortening,letterboxed,retro_artstyle,subscribestar_logo,weibo_logo,notice_lines,2021,bluesky_logo,happy_birthday,parody,2020,2023,twitch_logo,gumroad_logo,2019,2024,reference_inset,2016,black_border,zoom_layer,motion_blur,pixel_art,2017,happy_new_year,spot_color,convenient_censoring,vehicle_focus,wide_shot,fantasy,bar_censor,still_life
official_alternate_costume	official_alternate_hair_length,transparent_background,blurry,censored,character_name,artist_name,twitter_username,signature,multiple_views,tachi-e,copyright_name,chibi,mosaic_censoring,depth_of_field,bar_censor,copyright_notice,english_text,dutch_angle,white_border,dated,watermark,official_alternate_hair_color,expressions,comic,logo,material_growth,outside_border,foreshortening,number_print,monochrome,blurry_foreground,motion_lines,greyscale,eagle_union_(emblem),chaldea_logo,chibi_only,colorful_festival_(project_sekai),sketch,character_doll,official_alternate_eye_color,1980s_fashion,cleaning_&_clearing_(blue_archive),patreon_username,company_name,weibo_watermark,chromatic_aberration,chinese_text,damaged,defeat,meme,sound_effects,notice_lines,happy_birthday,portrait,uncensored,chibi_inset,adapted_costume,royal_navy_emblem_(azur_lane),spirit_blossom_(league_of_legends),notes,korean_text,sakura_empire_(emblem),reference_sheet,sticker,outline,text_print,zoom_layer,iron_blood_(emblem),log_pose,crossover,birthday,motion_blur,letterboxed,one-hour_drawing_challenge,web_address,2koma,alternate_color,rabbit_platoon_(blue_archive),rhodes_island_logo_(arknights),partially_underwater_shot,white_outline,weibo_logo,squeans,bokeh,heart_censor,viewfinder,4koma,convenient_censoring,parody,close-up,sidelighting,chinese_new_year,sample_watermark,three_quarter_view,drop_shadow,problem_solver_68_(blue_archive),cover,patreon_logo,squiggle,faux_figurine
monochrome	greyscale,comic,spot_color,sketch,lineart,4koma,blue_theme,sepia,bar_censor,hatching_(texture),censored,english_text,silent_comic,motion_lines,2koma,greyscale_with_colored_background,purple_theme,high_contrast,sound_effects,page_number,3koma,brown_theme,multiple_views,red_theme,linear_hatching,screentones,green_theme,parody,dated,pink_theme,multiple_4koma,signature,chinese_text,meme,twitter_username,chibi,artist_name,uncensored,halftone,notice_lines,portrait,1koma,korean_text,crossover,close-up,afterimage,aqua_theme,black_border,segmented_comic,x-ray,yellow_theme,right-to-left_comic,official_alternate_costume,artist_self-insert,contemporary,chibi_inset,character_name,orange_theme,gameplay_mechanics,text_focus,blank_speech_bubble,art_tools_in_frame,silhouette,cross-section,squiggle,blank_censor,flashback,profanity,outside_border,trolling,left-to-right_manga,fourth_wall,5koma,inktober,limited_palette,heart_censor,collage,style_parody,mosaic_censoring,scene_reference,truth,motion_blur,partially_colored,convenient_censoring,charisma_break,dutch_angle,oekaki,expressions,dithering,pun,traditional_chinese_text,copyright_name,dirty,squeans,web_address,art_shift,nanodesu_(phrase),watermark,they_had_lots_of_sex_afterwards_(meme),shared_speech_bubble
signature	dated,artist_name,twitter_username,blurry,watermark,character_name,english_text,white_border,depth_of_field,realistic,web_address,outside_border,official_alternate_costume,patreon_username,portrait,monochrome,outline,copyright_name,sketch,uncensored,logo,dutch_angle,chibi,multiple_views,greyscale,thank_you,white_outline,blurry_foreground,artist_logo,one-hour_drawing_challenge,chromatic_aberration,happy_birthday,foreshortening,2019,alpha_signature,crossover,art_tools_in_frame,seal_impression,2020,notice_lines,vehicle_focus,commissioner_name,adapted_costume,2022,letterboxed,deviantart_username,happy_new_year,2023,close-up,spot_color,alternate_color,wide_shot,hatching_(texture),motion_lines,fantasy,film_grain,censored,2021,pixiv_id,limited_palette,2018,patreon_logo,blue_theme,meme,2024,mecha_focus,instagram_username,2017,birthday,splash_page,retro_artstyle,still_life,bokeh,2016,motion_blur,parody,black_border,silhouette,cursive,zoom_layer,other_focus,roundel,redesign,comic,convenient_censoring,merry_christmas,pixiv_username,transparent,drop_shadow,character_doll,reference_inset,1980s_(style),name_connection,halftone,contemporary,partially_colored,twitter_logo,bar_censor,mosaic_censoring,profile_picture
comic	4koma,greyscale,monochrome,2koma,silent_comic,3koma,english_text,1koma,chibi,multiple_4koma,motion_lines,5koma,artist_self-insert,square_4koma,notice_lines,splash_page,censored,real_life_insert,bar_censor,meme,chinese_text,sound_effects,gameplay_mechanics,left-to-right_manga,segmented_comic,page_number,parody,afterimage,korean_text,right-to-left_comic,truth,sepia,flashback,twitter_username,fourth_wall,crossover,borderless_panels,charisma_break,trolling,spot_color,pun,failure,you're_doing_it_wrong,numbered_panels,shared_speech_bubble,scene_reference,partially_colored,mosaic_censoring,squiggle,they_had_lots_of_sex_afterwards_(meme),cross-section,close-up,chibi_inset,so_moe_i'm_gonna_die!,ranguage,narration,engrish_text,spoken_character,art_shift,profanity,artist_name,x-ray,vertical_comic,contemporary,simplified_chinese_text,traditional_chinese_text,blank_speech_bubble,multiple_views,official_alternate_costume,nanodesu_(phrase),to_be_continued,spoken_object,historical_name_connection,motion_blur,uncensored,ayaya~,age_progression,...!,idea,if_they_mated,bait_and_switch,silhouette,mixed-language_text,style_parody,finnish_text,black_border,mundane_utility,spoken_light_bulb,color_drain,shitty_admiral_(phrase),limited_palette,thai_text,too_literal,name_connection,scarlet_devil_mansion,typo,text_focus,fujiko_f_fujio_(style),blue_theme,ichininmae_no_lady
greyscale	monochrome,comic,spot_color,4koma,sketch,lineart,bar_censor,censored,hatching_(texture),english_text,silent_comic,motion_lines,page_number,2koma,sound_effects,3koma,screentones,multiple_views,high_contrast,multiple_4koma,parody,chinese_text,linear_hatching,meme,notice_lines,uncensored,1koma,signature,chibi,dated,twitter_username,artist_name,halftone,korean_text,afterimage,crossover,portrait,close-up,segmented_comic,black_border,right-to-left_comic,artist_self-insert,x-ray,official_alternate_costume,blank_speech_bubble,gameplay_mechanics,cross-section,trolling,flashback,5koma,blank_censor,inktober,fourth_wall,contemporary,left-to-right_manga,profanity,squiggle,character_name,art_tools_in_frame,text_focus,charisma_break,silhouette,mosaic_censoring,truth,heart_censor,scene_reference,style_parody,chibi_inset,collage,motion_blur,battery_indicator,traditional_chinese_text,convenient_censoring,outside_border,pun,ayaya~,squeans,nanodesu_(phrase),shared_speech_bubble,splash_page,dirty,dutch_angle,scarlet_devil_mansion,failure,they_had_lots_of_sex_afterwards_(meme),censored_identity,watermark,narration,what,copyright_name,foreshortening,dithering,ranguage,official_style,you're_doing_it_wrong,breast_conscious,expressions,engrish_text,broken,if_they_mated
twitter_username	artist_name,dated,one-hour_drawing_challenge,watermark,twitter_logo,signature,instagram_username,english_text,character_name,pixiv_id,chibi,instagram_logo,numbered,blurry,official_alternate_costume,white_border,comic,patreon_username,multiple_views,outside_border,facebook_username,monochrome,facebook_logo,web_address,meme,twitter_x_logo,outline,depth_of_field,pixiv_username,notice_lines,pixiv_logo,happy_birthday,greyscale,portrait,bluesky_username,white_outline,adapted_costume,patreon_logo,sketch,motion_lines,crossover,dutch_angle,copyright_name,alpha_signature,2koma,gumroad_username,deviantart_logo,gumroad_logo,uncensored,3koma,blurry_foreground,foreshortening,squiggle,deviantart_username,parody,artist_logo,chromatic_aberration,logo,censored,4koma,historical_name_connection,contemporary,spot_color,chibi_inset,name_connection,letterboxed,thank_you,character_doll,alternate_color,close-up,chibi_only,text_background,tumblr_username,partially_colored,film_grain,black_border,birthday,multiple_drawing_challenge,zoom_layer,happy_new_year,striped_background,silent_comic,sound_effects,drop_shadow,square_4koma,reference_inset,bar_censor,limited_palette,pun,halftone,trait_connection,squeans,qr_code,2023,mixed-language_text,scene_reference,convenient_censoring,gameplay_mechanics,korean_text,merry_christmas
blurry	depth_of_field,blurry_foreground,bokeh,dutch_angle,artist_name,signature,official_alternate_costume,foreshortening,chromatic_aberration,twitter_username,censored,motion_blur,letterboxed,watermark,patreon_username,mosaic_censoring,film_grain,soft_focus,web_address,english_text,uncensored,dated,sidelighting,portrait,photo_background,transparent,close-up,motion_lines,bloom,patreon_logo,bar_censor,white_border,outside_border,logo,copyright_name,character_name,convenient_censoring,viewfinder,3d,meme,realistic,contemporary,wide_shot,adapted_costume,caustics,perspective,happy_birthday,fisheye,pov_cheek_warming_(meme),artist_logo,track_and_field,pov_across_table,fake_screenshot,copyright_notice,sound_effects,3d_background,see-through_silhouette,silhouette,fine_fabric_emphasis,cover,fake_phone_screenshot,fantasy,notice_lines,character_doll,vignetting,dirty,official_alternate_hair_length,cover_page,subtitled,comic,weibo_watermark,muted_color,parody,sketch,mitsudomoe_(shape),single_vertical_stripe,twitter_logo,brand_name_imitation,crossover,from_outside,hatsumoude,blue_theme,merry_christmas,three_quarter_view,weibo_logo,hair_censor,alternate_color,screenshot_background,outline,pixiv_id,timestamp,chinese_text,black_border,company_name,birthday,cover_image,hot,pink_theme,reflection_focus,blur_censor
mosaic_censoring	censored,motion_lines,cross-section,sound_effects,dutch_angle,x-ray,motion_blur,patreon_username,blurry,official_alternate_costume,multiple_views,comic,take_your_pick,artist_name,web_address,bar_censor,tally,fanbox_username,patreon_logo,defeat,afterimage,watermark,english_text,foreshortening,2koma,close-up,fake_censor,monochrome,heart_censor,subscribestar_username,greyscale,3d_background,korean_text,censored_identity,depth_of_field,gumroad_username,through_wall,jaggy_lines,juxtaposition,viewfinder,signature,livestream,censored_text,pornography,twitter_username,dated,pixiv_logo,smell,sketch,bad_anatomy,oekaki,chinese_text,pixiv_username,transparent_background,lower_body,harvin,official_alternate_hair_length,letterboxed,anime_coloring,official_style,fake_screenshot,artistic_error,artist_logo,battery_indicator,material_growth,inset,fake_phone_screenshot,pixel_art,blur_censor,logo,3d,2000s_(style),crossover,blurry_foreground,spot_color,white_border,outside_border,meme,3koma,page_number,transparent,sample_watermark,character_name,chromatic_aberration,text_focus,gameplay_mechanics,silent_comic,cover,blue_theme,squiggle,outline,cover_page,adapted_costume,silhouette,doujin_cover,zoom_layer,convenient_censoring,4koma,copyright_name,white_outline
