1girl	kono_lolicon_domome,mtu_virus,paizuri_invitation,solo,newhalf_with_male,other_with_female,hetero,heart-shaped_boob_challenge,mixed-sex_combat,anal_only,yandere_trance,tour_guide,mecha_musume,croupier,netorase,male_on_futa,race_queen,abuse,oppai_loli,yuujo,ainu,will-o'-the-wisp_(mythology),dancer,solo_focus,housewife,office_lady,jirai_kei,onee-shota,topless_female,rhythmic_gymnastics,valkyrie,virtual_youtuber,nontraditional_playboy_bunny,togruta,chikan,gymnastics,implied_prostitution,implied_pregnancy,instant_loss,pokephilia,prostitution,reverse_fellatio,cheerleader,knight_(chess),phantom_thief,borrowed_character,toddlercon,year_of_the_snake,bimbofication,dancer_(fire_emblem:_three_houses),k/da_(league_of_legends),cowgirl_(western),unconventional_maid,after_bathing,bunny_day,oiran,yuki_onna,year_of_the_rooster,creature_and_personification,gladiator,public_use,stripper,year_of_the_ox,sheikah,drugged,bride,netorare,goth_fashion,barmaid,self_cosplay,nurse,step-brother_and_step-sister,ancient_egyptian,year_of_the_tiger,gothic_lolita,futa_on_male,star_guardian_(league_of_legends),tennis,ballerina,ballet,chinese_zodiac,bakeneko,lolita_fashion,russian_clothes,moth_antennae,valentine,standard_bearer,cheating_(relationship),queen,soapland,priestess,teacher,witch,travel_attendant,slime_girl,kung_fu,team_magma_uniform,personification,interracial,year_of_the_goat
solo	kono_lolicon_domome,heart-shaped_boob_challenge,paizuri_invitation,yandere_trance,knight_(chess),yuujo,croupier,1girl,mecha_musume,dancer,rhythmic_gymnastics,dancer_(fire_emblem:_three_houses),race_queen,year_of_the_ox,bunny_day,nontraditional_playboy_bunny,self-harm,oiran,stripper,year_of_the_tiger,gathers,jirai_kei,barmaid,gymnastics,unconventional_maid,virtual_youtuber,chinese_zodiac,gothic_lolita,lolita_fashion,cheerleader,year_of_the_snake,year_of_the_goat,moth_antennae,valentine,shinsengumi,self_cosplay,aquarius_(constellation),nudist,russian_clothes,year_of_the_rooster,k/da_(league_of_legends),enmaided,year_of_the_rabbit,after_bathing,wa_maid,goth_fashion,valkyrie,standard_bearer,cat_day,tour_guide,ancient_egyptian,sweet_lolita,year_of_the_dragon,ballerina,new_year,ballet,nekomata,alter_servant,mechanic,borrowed_character,onmyouji,nazi,warrior,christmas,kyuudou,bakeneko,asian,summer,soccer,yuki_onna,idol,maid,seraph,witch,for_adoption,ninja,easter,waitress,miko,office_lady,nurse,victorian_maid,halloween,kitsune,magical_girl,magician,pirate,kyuubi,phantom_thief,tennis,kung_fu,indian,travel_attendant,winter,military_operator,marching_band,lifeguard,bride,hannya,cowboy_western
multiple_girls	2girls,3girls,4girls,5girls,6+girls,step-sisters,wife_and_wife,yuri,fff_threesome,onee-loli,ho-kago_tea_time,bisexual_female,sisters,newhalf_with_female,aunt_and_niece,team_9_(touhou),futa_with_female,harem,quintuplets,grandmother_and_granddaughter,game_development_department_(blue_archive),futa_with_futa,mother_and_daughter,triplets,grass_root_youkai_network,sexual_coaching,ninjutsu_research_club_(blue_archive),tea_party_(blue_archive),sleepover,holocouncil,mixed_maids,hololive_fantasy,master_and_servant,holomyth,everyone,himejoshi,absolutely_everyone,forced_partners,inner_senshi,holox,rivalry,shadow_(shadows_house),sailor_senshi,angel_and_devil,twins,in-franchise_crossover,fox_costume,clone,motherly,siblings,family,selfcest,party,straw_hat_pirates,friends,misunderstanding,prank,twincest,female_pervert,dual_persona,time_paradox,glutton,teamwork,cousins,multiple_persona,pervert,bullying,tea_party,futasub,clothes_theft,theft,zenra,incest,6+boys,look-alike,serval_print,kodomo_doushi,beach_volleyball,luna_nova_school_uniform,maid_cafe,half-siblings,female_butler,father_and_daughter,yukkuri_shiteitte_ne,tiger_i,disguise,role_reversal,personality_switch,time_stop,step-siblings,mamemaki,slice_of_life,playing,femdom,panda_costume,body_switch,rabbit_costume,punishment,festival,demon_costume
1boy	futa_on_male,step-brother_and_step-sister,mixed-sex_combat,hetero,onee-shota,newhalf_with_male,aunt_and_nephew,magical_boy,tentacles_on_male,brother_and_sister,husband_and_wife,sexual_coaching,male_on_futa,reverse_ryona,lolidom,bisexual_female,male_focus,harem,male_playboy_bunny,male_maid,grandmother_and_grandson,crossdressing,uncle_and_niece,father_and_daughter,instant_loss,salaryman,interracial,furry_with_non-furry,solo_focus,age_difference,sadism,cheating_(relationship),netorare,mother_and_son,bara,couple,groom,super_saiyan_4,accidental_pervert,femdom,interspecies,implied_incest,pokephilia,implied_yaoi,policeman,super_saiyan,soapland,spartan_(halo),chikan,furry_with_furry,reverse_fellatio,toddlercon,priest,super_saiyan_1,size_difference,waiter,prostitution,super_saiyan_blue,primarch,incest,abuse,n_corp._fanatic_(identity)_(project_moon),family,step-siblings,implied_after_sex,drugged,kodomo_doushi,anal_only,yakuza,butler,masked,teacher_and_student,time_stop,team_rocket,alternate_universe,alternate_form,body_switch,wedding,saiyan,wizard,cowboy,josou_seme,kidnapping,personality_switch,murder,role_reversal,misunderstanding,monk,twincest,cousins,doctor,clown,e.g.o_(project_moon),masochism,ryona,penis_size_difference,transformation,jester,otaku,oppai_loli
2girls	step-sisters,yuri,wife_and_wife,newhalf_with_female,onee-loli,bisexual_female,futa_with_female,sexual_coaching,futa_with_futa,shadow_(shadows_house),forced_partners,master_and_servant,sisters,mother_and_daughter,angel_and_devil,multiple_girls,twincest,selfcest,rivalry,twins,straw_hat_pirates,dual_persona,siblings,grandmother_and_granddaughter,futasub,cousins,incest,mixed_maids,friends,family,time_paradox,female_pervert,kodomo_doushi,aunt_and_niece,pervert,motherly,step-siblings,in-franchise_crossover,prank,look-alike,role_reversal,femdom,luna_nova_school_uniform,clothes_theft,misunderstanding,serval_print,personality_switch,father_and_daughter,teamwork,sailor_senshi,train_conductor,half-siblings,theft,body_switch,crisis_management_form_(machimazo),female_butler,teacher_and_student,glutton,futa_without_pussy,couple,implied_yuri,inkling,bullying,octoling,ryona,masochism,mother_and_son,yukkuri_shiteitte_ne,groom,time_stop,inner_senshi,sick,wedding,clone,furry_with_furry,age_difference,playing,lolidom,chimera,fighting_game,disguise,accidental_pervert,murder,slice_of_life,rabbit_costume,mamemaki,tsundere,strong,hyur,size_difference,confession,vore,funeral_dress,husband_and_wife,beach_volleyball,bartender,dominatrix,summer_festival,accident,sadism
hetero	onee-shota,reverse_fellatio,chikan,netorare,interracial,cheating_(relationship),sexual_coaching,netorase,lolidom,furry_with_non-furry,instant_loss,pokephilia,harem,interspecies,solo_focus,abuse,age_difference,reverse_ryona,mixed-sex_combat,toddlercon,couple,sadism,prostitution,femdom,bisexual_female,furry_with_furry,husband_and_wife,soapland,drugged,1boy,kodomo_doushi,incest,anal_only,groom,captured,aunt_and_nephew,public_use,josou_seme,humiliation,3boys,boy_sandwich,accidental_pervert,ero_guro,size_difference,twincest,4boys,slave,time_stop,5boys,implied_incest,ryona,teacher_and_student,oppai_loli,drugs,wedding,virgin,mother_and_son,masochism,brother_and_sister,multiple_boys,implied_after_sex,torture,implied_pregnancy,dominatrix,2boys,topless_female,sheikah,6+boys,father_and_daughter,cousins,teacher,role_reversal,warrior_(dq3),slime_girl,borrowed_character,bride,selfcest,triplets,doctor,exhausted,k/da_(league_of_legends),family,nurse,native_american,pervert,priest,nun,sangvis_ferri,corruption,mother_and_daughter,tsundere,siblings,princess,1girl,team_rocket,twins,female_pervert,clone,ancient_egyptian,cheerleader
virtual_youtuber	holocouncil,hololive_fantasy,holox,holomyth,detective,jirai_kei,mascot,dinosaur_costume,pirate,wa_maid,idol,nurse,objectification,goth_fashion,tanuki,twins,bunny_day,gothic_lolita,astronaut,yandere,summer_festival,princess,lolita_fashion,topless_female,nun,delinquent,5girls,unconventional_maid,enmaided,summer,nontraditional_playboy_bunny,interracial,anniversary,cat_day,cowboy_western,instant_loss,solo,1girl,policewoman,6+others,police,dark_persona,solo_focus,selfcest,clothed_animal,valentine,maid,multiple_others,nontraditional_miko,office_lady,halloween,wife_and_wife,christmas,horror_(theme),sisters,samurai,dual_persona,fusion,cheerleader,winter,2others,hetero,bisexual_female,yuri,2girls,multiple_girls,mother_and_daughter,futa_with_female,multiple_persona,1other,year_of_the_rabbit,clone,witch,year_of_the_tiger,female_pervert,3girls,new_year,6+girls,humiliation,everyone,wedding,4girls,pervert,bride,siblings,people,transformation,chinese_zodiac,slime_girl,teacher,1boy,4boys,miko,netorare,dancer,race_queen,crossdressing,tsundere,shiny_pokemon,oppai_loli
solo_focus	chikan,reverse_fellatio,hetero,male_on_futa,people,abuse,interracial,furry_with_non-furry,pokephilia,prostitution,interspecies,anal_only,humiliation,lolidom,captured,netorare,cheating_(relationship),public_use,1boy,toddlercon,3boys,6+others,mmm_threesome,4boys,instant_loss,drugged,1other,sadism,penis_size_difference,multiple_others,5boys,ryona,femdom,oppai_loli,slave,torture,furry_with_furry,multiple_boys,yaoi,2others,drugs,masochism,2boys,size_difference,futasub,6+boys,age_difference,stripper,topless_female,futa_on_male,death,futa_without_pussy,borrowed_character,sangvis_ferri,teacher,festival,guro,onee-shota,bara,slime_girl,nurse,dominatrix,futa_with_female,office_lady,pervert,cheerleader,male_playboy_bunny,jiangshi,female_pervert,incest,soldier,police,nun,policewoman,1girl,princess,wedding,corruption,yandere,virtual_youtuber,crossdressing,bangboo_(zenless_zone_zero),ancient_egyptian,bride,pirate,tsundere,waitress,male_focus,clothed_pokemon,knight,kitsune,ninja,idol,brother_and_sister,3girls,maid,race_queen,miko,dancer,jirai_kei
male_focus	bara,muscular_uke,mmm_threesome,yaoi,onii-shota,husband_and_husband,implied_yaoi,male_maid,super_saiyan_4,tentacles_on_male,male_playboy_bunny,super_saiyan_blue,super_saiyan_1,crossdressing,super_saiyan,josou_seme,legendary_super_saiyan,saiyan,primarch,brothers,2boys,magical_boy,boy_sandwich,penis_size_difference,salaryman,spartan_(halo),father_and_son,multiple_boys,policeman,waiter,masked,cowboy,lifeguard,priest,wizard,alternate_form,monk,1boy,seraph,4boys,samurai,3boys,clown,e.g.o_(project_moon),5boys,teacher_and_student,alternate_universe,furry_with_furry,hyur,alternate_species,knight,6+boys,onmyouji,suicide,transformation,doctor,furry_with_non-furry,animification,size_difference,shinsengumi,butler,selfcest,self-harm,death,humanization,possessed,guro,couple,interspecies,time_paradox,otaku,dark_aura,pirate,asian,multiple_persona,team_rocket,chef,oversized_animal,year_of_the_dragon,dual_persona,soldier,cowboy_western,horror_(theme),surreal,kodomo_doushi,interracial,ninja,dark_persona,fusion,friends,clone,in-franchise_crossover,ancient_egyptian,people,clothed_pokemon,science_fiction,6+others,police,enmaided,year_of_the_tiger
multiple_boys	2boys,3boys,4boys,5boys,6+boys,husband_and_husband,male_harem,mmm_threesome,boy_sandwich,onii-shota,yaoi,muscular_uke,grandfather_and_grandson,brothers,uncle_and_nephew,father_and_son,straw_hat_pirates,josou_seme,shotadom,absolutely_everyone,penis_size_difference,everyone,super_saiyan_blue,implied_yaoi,super_saiyan_1,policeman,half-siblings,saiyan,super_saiyan_4,bara,chikan,family,reverse_fellatio,waiter,mother_and_son,super_saiyan,salaryman,party,male_maid,captured,male_playboy_bunny,uncle_and_niece,primarch,fujoshi,father_and_daughter,male_focus,teacher_and_student,netorare,crossdressing,alternate_universe,furry_with_furry,interracial,interspecies,teamwork,friends,bisexual_female,priest,time_paradox,humiliation,furry_with_non-furry,monk,soldier,war,masked,cheating_(relationship),butler,wizard,public_use,abuse,tentacles_on_male,murder,hyur,in-franchise_crossover,team_magma,husband_and_wife,step-siblings,brother_and_sister,size_difference,team_rocket,clown,zenra,decepticon,drugged,multiple_persona,male_on_futa,death,kodomo_doushi,chef,people,otaku,6+girls,prostitution,mummy,knight,doctor,anniversary,alternate_form,selfcest,dual_persona,age_difference
