1girl	solo,1boy,hetero,virtual_youtuber,solo_focus,maid,multiple_boys,military,2boys,magical_girl,1other,christmas,couple,personification,3boys,age_difference,halloween,lolita_fashion,enmaided,borrowed_character,siblings,interracial,nun,brother_and_sister,valentine,cheerleader,science_fiction,nontraditional_miko,new_year,office_lady,miko,gothic_lolita,witch,nurse,chinese_zodiac,ninja,onee-shota,size_difference,mecha_musume,interspecies,inkling,waitress,kitsune,race_queen,idol,femdom,4boys,summer,winter,police,animification,unconventional_maid,nekomata,bride,incest,dark_persona,oppai_loli,dual_persona,netorare,crossdressing,anniversary,multiple_others,dancer,yandere,policewoman,husband_and_wife,jiangshi,6+boys,jirai_kei,octoling,ancient_egyptian,goth_fashion,humanization,kyuubi,instant_loss,male_focus,nontraditional_playboy_bunny,furry_with_non-furry,twins,pokephilia,karakasa_obake,knight,teacher,5boys,horror_(theme),wa_maid,slime_girl,mother_and_son,corruption,tsundere,slave,father_and_daughter,transformation,bangboo_(zenless_zone_zero),prostitution,cheating_(relationship),fusion,pervert,serval_print,year_of_the_tiger
solo	1girl,virtual_youtuber,1boy,male_focus,maid,military,magical_girl,christmas,no_humans,bara,enmaided,lolita_fashion,halloween,science_fiction,personification,borrowed_character,valentine,nun,new_year,nontraditional_miko,cheerleader,crossdressing,1other,gothic_lolita,miko,chinese_zodiac,office_lady,witch,nurse,ninja,mecha_musume,waitress,race_queen,idol,kitsune,inkling,summer,winter,nekomata,unconventional_maid,animification,police,dark_persona,bride,dancer,animal_focus,anniversary,jiangshi,jirai_kei,policewoman,oppai_loli,goth_fashion,nontraditional_playboy_bunny,ancient_egyptian,yandere,karakasa_obake,humanization,kyuubi,octoling,knight,wa_maid,horror_(theme),fusion,teacher,corruption,slime_girl,year_of_the_tiger,year_of_the_rabbit,super_saiyan,surreal,serval_print,e.g.o_(project_moon),year_of_the_ox,pirate,tsundere,transformation,sailor,slave,sangvis_ferri,bangboo_(zenless_zone_zero),shiny_pokemon,princess,ballerina,samurai,guro,clothed_pokemon,soldier,alternate_form,cat_day,bunny_day,hyur,year_of_the_dragon,ballet,cowboy_western,dominatrix,setsubun,weight_conscious,kono_lolicon_domome,year_of_the_snake,shinsengumi
multiple_girls	2girls,yuri,3girls,1boy,4girls,multiple_boys,siblings,6+girls,sisters,virtual_youtuber,5girls,hetero,solo_focus,maid,2boys,military,dual_persona,twins,couple,magical_girl,futa_with_female,3boys,mother_and_daughter,age_difference,6+boys,everyone,christmas,nontraditional_miko,incest,1other,4boys,femdom,halloween,multiple_persona,nun,size_difference,enmaided,brother_and_sister,inkling,lolita_fashion,new_year,personification,pervert,miko,female_pervert,valentine,family,clone,5boys,anniversary,onee-loli,interracial,wife_and_wife,witch,borrowed_character,science_fiction,time_paradox,harem,gothic_lolita,father_and_daughter,waitress,in-franchise_crossover,bisexual_female,cheerleader,serval_print,idol,nurse,kitsune,fff_threesome,octoling,jiangshi,police,crossdressing,nekomata,interspecies,multiple_others,chinese_zodiac,yukkuri_shiteitte_ne,office_lady,karakasa_obake,summer,kodomo_doushi,ninja,winter,futa_with_futa,dark_persona,mother_and_son,husband_and_wife,selfcest,animification,onee-shota,cousins,twincest,policewoman,ho-kago_tea_time,yandere,look-alike,tsundere,bride,alternate_universe
1boy	1girl,hetero,solo_focus,male_focus,solo,multiple_girls,2girls,virtual_youtuber,couple,siblings,bara,age_difference,3girls,crossdressing,brother_and_sister,military,interracial,maid,onee-shota,size_difference,femdom,4girls,1other,interspecies,incest,6+girls,twins,husband_and_wife,sisters,science_fiction,5girls,netorare,nun,christmas,father_and_daughter,dual_persona,borrowed_character,personification,mother_and_daughter,furry_with_non-furry,instant_loss,mother_and_son,enmaided,halloween,pokephilia,family,bisexual_female,office_lady,harem,ninja,magical_girl,nurse,nontraditional_miko,lolita_fashion,animification,cheerleader,inkling,super_saiyan,multiple_others,cheating_(relationship),yuri,knight,valentine,oppai_loli,police,kodomo_doushi,alternate_universe,futa_on_male,miko,pervert,furry_with_furry,yandere,male_playboy_bunny,new_year,bride,transformation,prostitution,anniversary,gothic_lolita,alternate_form,dark_persona,octoling,humanization,death,waitress,wedding,witch,kitsune,winter,chinese_zodiac,tsundere,e.g.o_(project_moon),female_pervert,male_maid,horror_(theme),slave,policewoman,bangboo_(zenless_zone_zero),multiple_persona,2others
2girls	multiple_girls,yuri,1boy,siblings,sisters,virtual_youtuber,multiple_boys,hetero,solo_focus,maid,2boys,dual_persona,twins,couple,military,futa_with_female,mother_and_daughter,magical_girl,age_difference,incest,femdom,christmas,3boys,nontraditional_miko,halloween,1other,inkling,size_difference,enmaided,wife_and_wife,brother_and_sister,onee-loli,lolita_fashion,interracial,pervert,new_year,female_pervert,personification,valentine,4boys,miko,borrowed_character,family,bisexual_female,nun,science_fiction,time_paradox,father_and_daughter,6+boys,octoling,witch,interspecies,kodomo_doushi,serval_print,gothic_lolita,futa_with_futa,nurse,selfcest,cheerleader,waitress,kitsune,office_lady,twincest,chinese_zodiac,police,in-franchise_crossover,winter,dark_persona,anniversary,jiangshi,husband_and_wife,mother_and_son,cousins,summer,crossdressing,animification,clone,nekomata,idol,5boys,yukkuri_shiteitte_ne,onee-shota,ninja,multiple_others,karakasa_obake,look-alike,angel_and_devil,policewoman,bride,yandere,tsundere,unconventional_maid,netorare,alternate_universe,humanization,race_queen,death,kyuubi,wedding,friends
hetero	1girl,1boy,solo_focus,multiple_boys,multiple_girls,2girls,couple,2boys,virtual_youtuber,age_difference,interracial,3boys,onee-shota,interspecies,femdom,siblings,3girls,maid,incest,size_difference,4boys,netorare,brother_and_sister,military,furry_with_non-furry,instant_loss,husband_and_wife,borrowed_character,pokephilia,6+boys,sisters,5boys,cheating_(relationship),nun,4girls,harem,twins,kodomo_doushi,oppai_loli,bisexual_female,christmas,prostitution,nurse,6+girls,cheerleader,furry_with_furry,magical_girl,crossdressing,mother_and_daughter,office_lady,mother_and_son,slave,humiliation,personification,5girls,bride,dual_persona,father_and_daughter,miko,ninja,1other,wedding,chikan,reverse_fellatio,twincest,abuse,lolidom,pervert,sexual_coaching,teacher,enmaided,lolita_fashion,halloween,nontraditional_miko,police,kitsune,family,sadism,slime_girl,waitress,female_pervert,inkling,jiangshi,ryona,male_focus,valentine,gothic_lolita,public_use,toddlercon,yandere,witch,clone,drugged,policewoman,race_queen,ancient_egyptian,tsundere,anal_only,groom,unconventional_maid
virtual_youtuber	1girl,solo,multiple_girls,2girls,1boy,hetero,solo_focus,yuri,maid,3girls,male_focus,multiple_boys,5girls,4girls,siblings,sisters,2boys,twins,6+girls,1other,lolita_fashion,nun,christmas,enmaided,nurse,jirai_kei,interracial,idol,halloween,gothic_lolita,dual_persona,nontraditional_miko,3boys,valentine,holomyth,couple,office_lady,cheerleader,pirate,wa_maid,new_year,crossdressing,summer,multiple_others,holocouncil,anniversary,yandere,witch,age_difference,futa_with_female,no_humans,police,4boys,mother_and_daughter,unconventional_maid,goth_fashion,science_fiction,mascot,miko,chinese_zodiac,dark_persona,winter,detective,hololive_fantasy,everyone,policewoman,military,femdom,yaoi,multiple_persona,size_difference,6+boys,magical_girl,holox,nontraditional_playboy_bunny,horror_(theme),instant_loss,onee-shota,race_queen,2others,kitsune,bride,pervert,waitress,borrowed_character,female_pervert,princess,bara,5boys,tanuki,clone,fusion,personification,wife_and_wife,netorare,jiangshi,ninja,bunny_day,oppai_loli,dancer
solo_focus	1girl,hetero,1boy,multiple_boys,multiple_girls,2girls,virtual_youtuber,2boys,male_focus,1other,3boys,interracial,3girls,yaoi,maid,4boys,age_difference,interspecies,yuri,bara,femdom,military,4girls,size_difference,6+boys,multiple_others,borrowed_character,siblings,5boys,netorare,furry_with_non-furry,people,nun,crossdressing,pokephilia,6+girls,christmas,magical_girl,cheerleader,office_lady,5girls,oppai_loli,nurse,futa_with_female,onee-shota,instant_loss,incest,sisters,2others,humiliation,personification,couple,brother_and_sister,prostitution,science_fiction,cheating_(relationship),enmaided,halloween,miko,slave,police,lolita_fashion,ninja,nontraditional_miko,waitress,valentine,chikan,abuse,no_humans,pervert,kitsune,jiangshi,idol,witch,furry_with_furry,6+others,reverse_fellatio,penis_size_difference,dual_persona,female_pervert,policewoman,gothic_lolita,bride,death,new_year,teacher,yandere,race_queen,twins,inkling,ryona,male_on_futa,mother_and_daughter,summer,public_use,slime_girl,animification,winter,chinese_zodiac,knight
male_focus	1boy,solo,multiple_boys,2boys,yaoi,bara,crossdressing,solo_focus,3boys,virtual_youtuber,couple,4boys,1girl,maid,6+boys,siblings,super_saiyan,size_difference,dual_persona,military,brothers,1other,science_fiction,interracial,5boys,male_playboy_bunny,age_difference,enmaided,interspecies,animification,personification,multiple_girls,father_and_son,male_maid,christmas,knight,ninja,penis_size_difference,mmm_threesome,implied_yaoi,multiple_persona,alternate_universe,halloween,super_saiyan_1,super_saiyan_4,nun,onii-shota,alternate_form,humanization,furry_with_non-furry,tentacles_on_male,2girls,chinese_zodiac,e.g.o_(project_moon),dark_persona,multiple_others,transformation,borrowed_character,police,twins,josou_seme,furry_with_furry,samurai,lolita_fashion,hyur,new_year,anniversary,death,time_paradox,winter,horror_(theme),valentine,hetero,salaryman,incest,super_saiyan_blue,saiyan,no_humans,summer,clone,guro,muscular_uke,boy_sandwich,kodomo_doushi,fusion,priest,selfcest,ancient_egyptian,soldier,inkling,surreal,pirate,teacher_and_student,cheerleader,primarch,2others,3girls,magical_boy,butler,nurse
multiple_boys	2boys,male_focus,1girl,multiple_girls,hetero,3boys,yaoi,solo_focus,2girls,4boys,6+boys,bara,3girls,6+girls,siblings,5boys,4girls,crossdressing,couple,interracial,virtual_youtuber,everyone,age_difference,brothers,dual_persona,brother_and_sister,5girls,military,size_difference,maid,interspecies,father_and_son,1other,science_fiction,family,twins,netorare,mother_and_son,father_and_daughter,sisters,onee-shota,multiple_persona,anniversary,animification,christmas,multiple_others,super_saiyan,husband_and_wife,ninja,mother_and_daughter,alternate_universe,furry_with_non-furry,penis_size_difference,halloween,nun,time_paradox,knight,yuri,incest,mmm_threesome,police,onii-shota,soldier,enmaided,personification,borrowed_character,boy_sandwich,furry_with_furry,kodomo_doushi,in-franchise_crossover,clone,magical_girl,bisexual_female,humiliation,death,inkling,cheating_(relationship),people,male_playboy_bunny,new_year,josou_seme,lolita_fashion,office_lady,slave,hyur,2others,absolutely_everyone,dark_persona,super_saiyan_1,pokephilia,alternate_form,witch,implied_yaoi,instant_loss,prostitution,male_maid,summer,nurse,humanization,waitress
