censored	mosaic_censoring,bar_censor,heart_censor,motion_lines,cross-section,sound_effects,novelty_censor,x-ray,blur_censor,blank_censor,censored_identity,convenient_censoring,multiple_views,greyscale,comic,motion_blur,monochrome,character_censor,scribble_censor,censored_text,tally,dutch_angle,take_your_pick,patreon_username,transparent_censoring,3d_background,censored_by_text,fanbox_username,afterimage,light_censor,defeat,2koma,through_wall,web_address,fake_censor,viewfinder,patreon_logo,censored_profanity,korean_text,smell,juxtaposition,queen_of_spades_symbol,censored_violence,ishikei_(style),livestream,pornography,battery_indicator,afterglow,change_in_common_sense,sample_watermark,procreate_(software),taker_pov,sex_ed,close-up,subscribestar_username,bad_anatomy,foreshortening,gumroad_username,fake_phone_screenshot,jaggy_lines,harvin,fake_video,hair_censor,profanity,art_program_in_frame,blurry,reverse_netorare,blank_speech_bubble,keep_out,fake_screenshot,crotch_focus,official_alternate_costume,watermark,inset,chinese_text,mars_symbol,soap_censor,pixiv_logo,artistic_error,out_of_character,oekaki,venus_symbol,timestamp,dialogue_box,reflection_focus,bad_feet,pixiv_username,lower_body,runny_makeup,androgyne_symbol,user_interface,emoji,konohagakure_symbol,character_age,bad_proportions,collage,tail_censor,what,anime_coloring,page_number
artist_name	signature,patreon_username,dated,watermark,web_address,twitter_username,patreon_logo,english_text,uncensored,character_name,artist_logo,logo,copyright_name,twitter_logo,blurry,fanbox_username,white_border,pixiv_logo,outside_border,deviantart_username,instagram_logo,pixiv_username,instagram_username,realistic,3d,outline,pixiv_id,twitter_x_logo,facebook_username,multiple_views,meme,white_outline,subscribestar_username,weibo_watermark,depth_of_field,page_number,gumroad_username,one-hour_drawing_challenge,facebook_logo,tumblr_username,commissioner_name,portrait,manga_cover,thank_you,chromatic_aberration,subtitled,2022,copyright_notice,crossover,company_name,sample_watermark,deviantart_logo,artstation_username,cover,weibo_logo,alternate_color,2021,2020,cover_page,2023,2019,blurry_foreground,retro_artstyle,2024,subscribestar_logo,2016,chibi,reference_inset,bluesky_logo,2017,gumroad_logo,twitch_logo,still_life,black_border,2018,notice_lines,close-up,twitter_strip_game,adapted_costume,vehicle_focus,happy_new_year,numbered,title,dutch_angle,fantasy,cursive,happy_birthday,wide_shot,zoom_layer,2015,circle_name,pixel_art,film_grain,letterboxed,qr_code,limited_palette,mixed-language_text,mecha_focus,weapon_focus,triforce
official_alternate_costume	official_alternate_hair_length,transparent_background,blurry,tachi-e,copyright_notice,character_name,copyright_name,official_alternate_hair_color,expressions,material_growth,multiple_views,depth_of_field,twitter_username,number_print,chaldea_logo,eagle_union_(emblem),official_alternate_eye_color,colorful_festival_(project_sekai),cleaning_&_clearing_(blue_archive),logo,1980s_fashion,white_border,chibi_only,chibi,damaged,defeat,spirit_blossom_(league_of_legends),royal_navy_emblem_(azur_lane),outside_border,weibo_watermark,notes,company_name,blurry_foreground,signature,sakura_empire_(emblem),bar_censor,text_print,iron_blood_(emblem),sticker,dutch_angle,log_pose,foreshortening,watermark,artist_name,character_doll,rabbit_platoon_(blue_archive),rhodes_island_logo_(arknights),chibi_inset,chinese_text,partially_underwater_shot,problem_solver_68_(blue_archive),chinese_new_year,chromatic_aberration,faux_figurine,weibo_logo,reference_sheet,notice_lines,mosaic_censoring,birthday,censored,official_alternate_color,paw_print_pattern,sound_effects,korean_text,track_and_field,squeans,viewfinder,takeuchi_takashi_(style),three_quarter_view,sidelighting,bokeh,happy_birthday,back_focus,drop_shadow,caustics,color_guide,cameo,pixiv_username,zoom_layer,fine_fabric_emphasis,double_vertical_stripe,starry_sky_print,spoken_character,2024,motion_lines,variations,punk,see-through_silhouette,fake_phone_screenshot,battery_indicator,pixiv_id,3d_background,deformed,broken,happy_halloween,sample_watermark,alternate_color,2023,2025,spade_(shape)
monochrome	greyscale,comic,spot_color,sketch,4koma,blue_theme,lineart,bar_censor,sepia,hatching_(texture),english_text,silent_comic,2koma,motion_lines,censored,sound_effects,purple_theme,greyscale_with_colored_background,3koma,page_number,high_contrast,red_theme,brown_theme,green_theme,linear_hatching,screentones,pink_theme,parody,chinese_text,multiple_4koma,multiple_views,halftone,meme,notice_lines,1koma,afterimage,korean_text,aqua_theme,black_border,yellow_theme,segmented_comic,artist_self-insert,x-ray,portrait,right-to-left_comic,close-up,orange_theme,blank_speech_bubble,art_tools_in_frame,text_focus,dated,chibi_inset,gameplay_mechanics,blank_censor,crossover,left-to-right_manga,fourth_wall,profanity,5koma,flashback,trolling,inktober,contemporary,silhouette,collage,truth,cross-section,charisma_break,squiggle,scene_reference,dithering,uncensored,traditional_chinese_text,art_shift,nanodesu_(phrase),style_parody,they_had_lots_of_sex_afterwards_(meme),shared_speech_bubble,partially_colored,limited_palette,battery_indicator,ayaya~,pun,splash_page,expressions,failure,bait_and_switch,chibi,what,scarlet_devil_mansion,if_they_mated,censored_identity,squeans,narration,dirty,you're_doing_it_wrong,to_be_continued,heart_censor,so_moe_i'm_gonna_die!,oekaki
signature	dated,artist_name,twitter_username,blurry,watermark,white_border,realistic,depth_of_field,character_name,web_address,outside_border,english_text,patreon_username,outline,portrait,thank_you,logo,white_outline,artist_logo,copyright_name,blurry_foreground,chromatic_aberration,one-hour_drawing_challenge,2019,2020,sketch,happy_birthday,art_tools_in_frame,2022,vehicle_focus,deviantart_username,alpha_signature,commissioner_name,2023,seal_impression,hatching_(texture),happy_new_year,2021,pixiv_id,notice_lines,2018,wide_shot,film_grain,fantasy,2024,mecha_focus,dutch_angle,uncensored,alternate_color,limited_palette,foreshortening,instagram_username,2017,still_life,splash_page,2016,patreon_logo,birthday,spot_color,bokeh,blue_theme,cursive,roundel,redesign,official_alternate_costume,crossover,pixiv_username,close-up,letterboxed,retro_artstyle,black_border,1980s_(style),merry_christmas,other_focus,adapted_costume,profile_picture,reference_inset,facebook_username,black_outline,silhouette,twitter_logo,drop_shadow,comic_cover,2015,grey_border,multiple_views,chibi,transparent,milestone_celebration,soviet,name_connection,halftone,three_quarter_view,cyberpunk,motion_blur,partially_colored,instagram_logo,single_vertical_stripe,kotoyoro,historical_name_connection
comic	monochrome,4koma,greyscale,2koma,silent_comic,3koma,english_text,chibi,motion_lines,1koma,notice_lines,multiple_4koma,artist_self-insert,bar_censor,5koma,meme,sound_effects,chinese_text,square_4koma,censored,gameplay_mechanics,parody,real_life_insert,splash_page,page_number,korean_text,afterimage,left-to-right_manga,segmented_comic,sepia,right-to-left_comic,crossover,fourth_wall,truth,pun,spot_color,flashback,partially_colored,failure,scene_reference,squiggle,cross-section,you're_doing_it_wrong,charisma_break,borderless_panels,trolling,chibi_inset,ranguage,engrish_text,x-ray,profanity,close-up,shared_speech_bubble,spoken_character,they_had_lots_of_sex_afterwards_(meme),numbered_panels,so_moe_i'm_gonna_die!,contemporary,simplified_chinese_text,narration,blank_speech_bubble,spoken_object,art_shift,historical_name_connection,traditional_chinese_text,vertical_comic,nanodesu_(phrase),age_progression,twitter_username,motion_blur,to_be_continued,mixed-language_text,if_they_mated,ayaya~,style_parody,black_border,mundane_utility,typo,silhouette,scarlet_devil_mansion,text_focus,thai_text,...!,bait_and_switch,name_connection,limited_palette,too_literal,censored_identity,shitty_admiral_(phrase),finnish_text,before_and_after,idea,censored_text,spoken_light_bulb,color_drain,furigana,screentones,text_messaging,ichininmae_no_lady,squeans
greyscale	monochrome,comic,sketch,4koma,spot_color,bar_censor,lineart,english_text,censored,hatching_(texture),silent_comic,motion_lines,page_number,2koma,sound_effects,3koma,screentones,high_contrast,multiple_4koma,chinese_text,parody,linear_hatching,multiple_views,notice_lines,meme,1koma,halftone,afterimage,korean_text,black_border,segmented_comic,artist_self-insert,right-to-left_comic,x-ray,blank_speech_bubble,close-up,gameplay_mechanics,blank_censor,5koma,trolling,flashback,fourth_wall,crossover,cross-section,left-to-right_manga,inktober,art_tools_in_frame,profanity,portrait,charisma_break,uncensored,truth,text_focus,collage,battery_indicator,traditional_chinese_text,scene_reference,squiggle,silhouette,shared_speech_bubble,nanodesu_(phrase),ayaya~,splash_page,contemporary,scarlet_devil_mansion,style_parody,they_had_lots_of_sex_afterwards_(meme),failure,narration,censored_identity,pun,what,chibi_inset,dithering,squeans,dirty,you're_doing_it_wrong,breast_conscious,scribble_censor,heart_censor,if_they_mated,square_4koma,chibi,age_progression,mixed-language_text,pornography,dated,motion_blur,ranguage,engrish_text,text_messaging,official_style,character_age,expressions,typo,art_program_in_frame,broken,bad_end,hot,chaldea_logo
twitter_username	artist_name,dated,one-hour_drawing_challenge,watermark,signature,twitter_logo,english_text,instagram_username,character_name,pixiv_id,chibi,white_border,instagram_logo,numbered,patreon_username,outside_border,blurry,facebook_username,web_address,meme,facebook_logo,pixiv_username,outline,notice_lines,pixiv_logo,multiple_views,twitter_x_logo,happy_birthday,patreon_logo,white_outline,official_alternate_costume,bluesky_username,comic,portrait,alpha_signature,adapted_costume,gumroad_username,deviantart_logo,deviantart_username,depth_of_field,2koma,3koma,gumroad_logo,historical_name_connection,squiggle,crossover,thank_you,motion_lines,tumblr_username,name_connection,artist_logo,text_background,chromatic_aberration,blurry_foreground,chibi_inset,multiple_drawing_challenge,partially_colored,square_4koma,chibi_only,contemporary,birthday,qr_code,film_grain,alternate_color,drop_shadow,black_border,reference_inset,striped_background,character_doll,mixed-language_text,2023,spot_color,pun,1koma,happy_new_year,logo,scene_reference,squeans,pocky_day,emoji,copyright_name,milestone_celebration,grey_border,foreshortening,trait_connection,2022,2024,halftone,star_symbol_background,subtitled,silent_comic,flower_(symbol),heart_background,merry_christmas,zoom_layer,costume_switch,limited_palette,4koma,three_quarter_view,photo_background
blurry	depth_of_field,blurry_foreground,bokeh,dutch_angle,artist_name,signature,foreshortening,chromatic_aberration,motion_blur,official_alternate_costume,letterboxed,patreon_username,film_grain,watermark,twitter_username,web_address,sidelighting,photo_background,transparent,soft_focus,bloom,patreon_logo,portrait,close-up,viewfinder,3d,motion_lines,uncensored,mosaic_censoring,caustics,logo,fisheye,perspective,outside_border,wide_shot,realistic,track_and_field,convenient_censoring,pov_cheek_warming_(meme),pov_across_table,white_border,3d_background,contemporary,dated,fake_screenshot,fine_fabric_emphasis,see-through_silhouette,fake_phone_screenshot,english_text,vignetting,happy_birthday,artist_logo,hatsumoude,from_outside,censored,copyright_notice,single_vertical_stripe,silhouette,subtitled,screenshot_background,mitsudomoe_(shape),muted_color,twitter_logo,timestamp,reflection_focus,meme,brand_name_imitation,pixiv_id,dirty,copyright_name,three_quarter_view,sound_effects,fantasy,cover_image,weibo_logo,partially_underwater_shot,kamisato_clan_(emblem),official_alternate_hair_length,merry_christmas,blur_censor,cameo,deviantart_username,weibo_watermark,eye_trail,single_horizontal_stripe,adapted_costume,pixiv_username,fanbox_username,smell,battery_indicator,hot,dialogue_box,broken,light_censor,unmoving_pattern,scene_reference,song_name,back_focus,birthday,3others
mosaic_censoring	censored,motion_lines,cross-section,sound_effects,dutch_angle,x-ray,motion_blur,patreon_username,take_your_pick,tally,fanbox_username,web_address,patreon_logo,defeat,multiple_views,afterimage,blurry,3d_background,fake_censor,subscribestar_username,censored_identity,gumroad_username,through_wall,2koma,juxtaposition,heart_censor,jaggy_lines,livestream,viewfinder,censored_text,korean_text,pornography,close-up,bar_censor,pixiv_logo,foreshortening,official_alternate_costume,smell,comic,pixiv_username,harvin,bad_anatomy,lower_body,battery_indicator,inset,anime_coloring,oekaki,fake_phone_screenshot,watermark,blur_censor,artistic_error,official_style,fake_screenshot,2000s_(style),chinese_text,official_alternate_hair_length,material_growth
