censored	mosaic_censoring,bar_censor,monochrome,greyscale,comic,motion_lines,heart_censor,official_alternate_costume,multiple_views,artist_name,blurry,dutch_angle,sound_effects,cross-section,convenient_censoring,english_text,x-ray,signature,patreon_username,motion_blur,watermark,twitter_username,novelty_censor,sketch,web_address,dated,blur_censor,foreshortening,depth_of_field,blank_censor,2koma,close-up,take_your_pick,censored_identity,afterimage,patreon_logo,korean_text,character_name,tally,character_censor,cover,chibi,white_border,defeat,spot_color,cover_page,letterboxed,fanbox_username,sample_watermark,chinese_text,transparent_background,meme,scribble_censor,3d_background,crossover,viewfinder,censored_text,doujin_cover,hair_censor,pixel_art,oekaki,outside_border,bad_anatomy,light_censor,transparent_censoring,4koma,logo,smell,outline,through_wall,copyright_name,fake_screenshot,parody,jaggy_lines,3koma,adapted_costume,blurry_foreground,silent_comic,artist_logo,3d,artistic_error,official_alternate_hair_length,censored_by_text,material_growth,gameplay_mechanics,page_number,squiggle,chromatic_aberration,profanity,battery_indicator,transparent,text_focus,lower_body,content_rating,blue_theme,livestream,white_outline,uncensored,zoom_layer,pornography
artist_name	signature,twitter_username,dated,watermark,english_text,patreon_username,web_address,character_name,blurry,uncensored,official_alternate_costume,censored,copyright_name,patreon_logo,monochrome,multiple_views,chibi,white_border,logo,comic,greyscale,depth_of_field,mosaic_censoring,outside_border,artist_logo,dutch_angle,meme,sketch,portrait,cover,outline,crossover,bar_censor,motion_lines,one-hour_drawing_challenge,adapted_costume,twitter_logo,cover_page,realistic,foreshortening,parody,letterboxed,white_outline,close-up,blurry_foreground,3d,chromatic_aberration,fanbox_username,convenient_censoring,happy_birthday,copyright_notice,notice_lines,alternate_color,spot_color,weibo_watermark,motion_blur,page_number,deviantart_username,zoom_layer,pixiv_logo,sample_watermark,pixel_art,retro_artstyle,company_name,instagram_logo,pixiv_username,contemporary,instagram_username,doujin_cover,2koma,character_doll,black_border,happy_new_year,wide_shot,sound_effects,chinese_text,fantasy,pixiv_id,thank_you,limited_palette,blue_theme,film_grain,4koma,chibi_inset,silhouette,vehicle_focus,2022,reference_sheet,3koma,chibi_only,weibo_logo,subtitled,transparent_background,halftone,reference_inset,korean_text,2023,other_focus,2021,heart_censor
official_alternate_costume	censored,artist_name,blurry,twitter_username,signature,character_name,multiple_views,mosaic_censoring,transparent_background,chibi,english_text,bar_censor,official_alternate_hair_length,comic,monochrome,depth_of_field,dated,copyright_name,greyscale,dutch_angle,watermark,white_border,sketch,uncensored,outside_border,foreshortening,tachi-e,motion_lines,logo,copyright_notice,portrait,patreon_username,blurry_foreground,meme,adapted_costume,crossover,happy_birthday,character_doll,outline,chromatic_aberration,material_growth,sound_effects,letterboxed,parody,web_address,notice_lines,cover,expressions,4koma,chinese_text,one-hour_drawing_challenge,chibi_only,convenient_censoring,close-up,korean_text,zoom_layer,motion_blur,chibi_inset,2koma,company_name,weibo_watermark,white_outline,reference_sheet,alternate_color,cover_page,heart_censor,artist_logo,damaged,defeat,patreon_logo,spot_color,doujin_cover,birthday,squiggle,sample_watermark,official_alternate_hair_color,pixel_art,3koma,happy_new_year,squeans,silent_comic,film_grain,bokeh,cross-section,3d,contemporary,drop_shadow,viewfinder,weibo_logo,afterimage,transparent,sticker,gameplay_mechanics,sidelighting,chaldea_logo,three_quarter_view,bad_anatomy,merry_christmas,fake_screenshot,broken
monochrome	greyscale,comic,sketch,censored,spot_color,bar_censor,english_text,4koma,artist_name,multiple_views,signature,twitter_username,blue_theme,motion_lines,dated,chibi,official_alternate_costume,uncensored,lineart,2koma,parody,silent_comic,character_name,meme,sound_effects,portrait,sepia,mosaic_censoring,hatching_(texture),crossover,3koma,close-up,dutch_angle,page_number,chinese_text,notice_lines,purple_theme,red_theme,copyright_name,outside_border,watermark,greyscale_with_colored_background,korean_text,pink_theme,halftone,green_theme,contemporary,convenient_censoring,blurry,foreshortening,white_border,black_border,afterimage,web_address,high_contrast,x-ray,chibi_inset,motion_blur,brown_theme,heart_censor,gameplay_mechanics,silhouette,cover,squiggle,cross-section,linear_hatching,limited_palette,text_focus,screentones,multiple_4koma,style_parody,letterboxed,artist_self-insert,oekaki,cover_page,logo,partially_colored,depth_of_field,1koma,outline,reference_sheet,adapted_costume,yellow_theme,one-hour_drawing_challenge,dirty,expressions,character_doll,scene_reference,squeans,profanity,pun,patreon_username,realistic,aqua_theme,doujin_cover,copyright_notice,orange_theme,official_style,jaggy_lines,artist_logo
signature	artist_name,dated,twitter_username,blurry,official_alternate_costume,english_text,character_name,monochrome,watermark,depth_of_field,greyscale,white_border,censored,chibi,multiple_views,sketch,uncensored,dutch_angle,copyright_name,outside_border,web_address,portrait,patreon_username,comic,logo,outline,realistic,foreshortening,mosaic_censoring,one-hour_drawing_challenge,crossover,motion_lines,adapted_costume,bar_censor,blurry_foreground,letterboxed,white_outline,happy_birthday,meme,artist_logo,chromatic_aberration,close-up,parody,spot_color,notice_lines,convenient_censoring,alternate_color,blue_theme,patreon_logo,motion_blur,happy_new_year,wide_shot,thank_you,fantasy,limited_palette,vehicle_focus,film_grain,zoom_layer,retro_artstyle,contemporary,character_doll,silhouette,black_border,hatching_(texture),birthday,2022,2023,bokeh,transparent,sound_effects,other_focus,chibi_inset,chinese_text,2020,2021,halftone,chibi_only,name_connection,squiggle,partially_colored,2019,merry_christmas,2024,mecha_focus,drop_shadow,pink_theme,striped_background,cover,deviantart_username,red_theme,reference_inset,dirty,pixiv_id,2koma,heart_censor,2018,art_tools_in_frame,instagram_username,hair_censor,style_parody
comic	monochrome,greyscale,4koma,english_text,2koma,censored,chibi,silent_comic,bar_censor,3koma,motion_lines,twitter_username,artist_name,meme,official_alternate_costume,parody,mosaic_censoring,notice_lines,sound_effects,multiple_views,crossover,chinese_text,uncensored,korean_text,gameplay_mechanics,signature,artist_self-insert,spot_color,close-up,afterimage,page_number,sketch,1koma,multiple_4koma,blurry,watermark,character_name,dated,5koma,contemporary,real_life_insert,squiggle,motion_blur,chibi_inset,cross-section,outside_border,square_4koma,sepia,partially_colored,web_address,x-ray,white_border,splash_page,patreon_username,convenient_censoring,pun,blue_theme,ranguage,scene_reference,silhouette,character_doll,engrish_text,cover,segmented_comic,limited_palette,black_border,style_parody,left-to-right_manga,fourth_wall,chibi_only,cover_page,name_connection,profanity,outline,truth,copyright_name,text_focus,failure,spoken_character,copyright_notice,right-to-left_comic,you're_doing_it_wrong,portrait,animalization,depth_of_field,adapted_costume,squeans,patreon_logo,doujin_cover,mixed-language_text,heart_censor,simplified_chinese_text,halftone,romaji_text,flashback,dirty,spoken_object,they_had_lots_of_sex_afterwards_(meme),age_progression,dutch_angle
greyscale	monochrome,comic,censored,sketch,bar_censor,english_text,4koma,spot_color,multiple_views,artist_name,signature,motion_lines,twitter_username,official_alternate_costume,chibi,dated,uncensored,lineart,parody,2koma,sound_effects,meme,silent_comic,mosaic_censoring,character_name,portrait,hatching_(texture),crossover,page_number,3koma,close-up,chinese_text,notice_lines,dutch_angle,korean_text,watermark,copyright_name,outside_border,halftone,convenient_censoring,afterimage,black_border,contemporary,blurry,x-ray,foreshortening,white_border,gameplay_mechanics,motion_blur,cross-section,high_contrast,heart_censor,multiple_4koma,cover,squiggle,screentones,silhouette,artist_self-insert,chibi_inset,web_address,style_parody,linear_hatching,1koma,cover_page,text_focus,letterboxed,adapted_costume,logo,depth_of_field,scene_reference,copyright_notice,dirty,squeans,outline,patreon_username,character_doll,profanity,doujin_cover,pun,reference_sheet,blank_censor,segmented_comic,realistic,fourth_wall,official_style,collage,artist_logo,ranguage,expressions,oekaki,blank_speech_bubble,5koma,trait_connection,broken,engrish_text,hot,weibo_watermark,hair_censor,viewfinder,name_connection
twitter_username	artist_name,dated,signature,english_text,watermark,one-hour_drawing_challenge,official_alternate_costume,character_name,blurry,comic,chibi,monochrome,multiple_views,greyscale,white_border,censored,depth_of_field,patreon_username,outside_border,sketch,dutch_angle,meme,copyright_name,uncensored,web_address,portrait,twitter_logo,motion_lines,adapted_costume,outline,crossover,bar_censor,happy_birthday,mosaic_censoring,parody,foreshortening,notice_lines,instagram_username,4koma,white_outline,logo,patreon_logo,2koma,letterboxed,blurry_foreground,pixiv_id,close-up,spot_color,chromatic_aberration,artist_logo,numbered,contemporary,instagram_logo,character_doll,3koma,convenient_censoring,squiggle,alternate_color,sound_effects,chibi_inset,zoom_layer,chibi_only,silent_comic,name_connection,motion_blur,film_grain,pixiv_username,black_border,happy_new_year,partially_colored,korean_text,limited_palette,striped_background,pixiv_logo,facebook_username,birthday,thank_you,gameplay_mechanics,halftone,trait_connection,blue_theme,drop_shadow,text_background,afterimage,other_focus,squeans,heart_censor,facebook_logo,silhouette,voice_actor_connection,pun,twitter_x_logo,3d,reference_inset,deviantart_username,merry_christmas,style_parody,photo_background,dirty,costume_switch
blurry	depth_of_field,blurry_foreground,artist_name,signature,official_alternate_costume,censored,dutch_angle,twitter_username,bokeh,mosaic_censoring,english_text,watermark,dated,foreshortening,uncensored,bar_censor,patreon_username,character_name,letterboxed,chromatic_aberration,portrait,web_address,motion_lines,motion_blur,copyright_name,white_border,comic,close-up,outside_border,logo,convenient_censoring,meme,adapted_costume,film_grain,monochrome,sketch,patreon_logo,multiple_views,chibi,cover,transparent,happy_birthday,greyscale,contemporary,photo_background,realistic,parody,sidelighting,artist_logo,crossover,3d,cover_page,sound_effects,wide_shot,copyright_notice,viewfinder,notice_lines,outline,bloom,character_doll,silhouette,perspective,blue_theme,one-hour_drawing_challenge,fake_screenshot,doujin_cover,fantasy,fisheye,2koma,alternate_color,chinese_text,heart_censor,official_alternate_hair_length,see-through_silhouette,weibo_watermark,dirty,hair_censor,black_border,caustics,white_outline,company_name,happy_new_year,merry_christmas,korean_text,pink_theme,birthday,fine_fabric_emphasis,spot_color,three_quarter_view,muted_color,squiggle,brand_name_imitation,x-ray,sample_watermark,twitter_logo,mitsudomoe_(shape),hot,weibo_logo,broken,subtitled
mosaic_censoring	censored,motion_lines,official_alternate_costume,dutch_angle,blurry,artist_name,comic,multiple_views,bar_censor,sound_effects,patreon_username,cross-section,monochrome,english_text,greyscale,motion_blur,x-ray,signature,web_address,watermark,twitter_username,depth_of_field,dated,foreshortening,patreon_logo,close-up,sketch,take_your_pick,2koma,heart_censor,afterimage,transparent_background,korean_text,defeat,tally,fanbox_username,character_name,letterboxed,white_border,chinese_text,jaggy_lines,logo,oekaki,crossover,viewfinder,meme,outside_border,artist_logo,bad_anatomy,blurry_foreground,pixel_art,spot_color,cover,chibi,official_alternate_hair_length,3d_background,censored_identity,through_wall,smell,copyright_name,lower_body,fake_screenshot,adapted_costume,cover_page,material_growth,official_style,chromatic_aberration,artistic_error,outline,3d,3koma,livestream,subscribestar_username,convenient_censoring,pornography,4koma,pixiv_logo,sample_watermark,gumroad_username,blue_theme,anime_coloring,transparent,pixiv_username,doujin_cover,page_number,silent_comic,parody,gameplay_mechanics,harvin,juxtaposition,censored_text,squiggle,blur_censor,text_focus,zoom_layer,2000s_(style),uncensored,silhouette,fake_phone_screenshot,battery_indicator
