censored	mosaic_censoring,bar_censor,heart_censor,motion_lines,cross-section,novelty_censor,sound_effects,x-ray,blur_censor,blank_censor,monochrome,greyscale,comic,censored_identity,multiple_views,convenient_censoring,character_censor,motion_blur,scribble_censor,dutch_angle,censored_text,official_alternate_costume,tally,transparent_censoring,patreon_username,take_your_pick,blurry,3d_background,censored_by_text,artist_name,fanbox_username,afterimage,web_address,light_censor,2koma,watermark,english_text,defeat,fake_censor,foreshortening,patreon_logo,through_wall,korean_text,censored_profanity,close-up,viewfinder,sketch,juxtaposition,signature,smell,sample_watermark,censored_violence,twitter_username,queen_of_spades_symbol,ishikei_(style),depth_of_field,livestream,change_in_common_sense,pornography,dated,battery_indicator,afterglow,bad_anatomy,chinese_text,hair_censor,sex_ed,taker_pov,procreate_(software),jaggy_lines,oekaki,fake_screenshot,subscribestar_username,spot_color,fake_phone_screenshot,profanity,harvin,gumroad_username,pixel_art,artistic_error,fake_video,art_program_in_frame,cover,blank_speech_bubble,cover_page,letterboxed,reverse_netorare,3koma,keep_out,inset,doujin_cover,crotch_focus,lower_body,mars_symbol,3d,official_alternate_hair_length,pixiv_logo,page_number,soap_censor,material_growth,meme
artist_name	patreon_username,signature,web_address,watermark,dated,twitter_username,patreon_logo,english_text,uncensored,character_name,twitter_logo,artist_logo,copyright_name,logo,blurry,fanbox_username,pixiv_logo,deviantart_username,white_border,instagram_logo,outside_border,pixiv_username,multiple_views,official_alternate_costume,instagram_username,twitter_x_logo,depth_of_field,realistic,3d,pixiv_id,outline,chibi,facebook_username,meme,subscribestar_username,censored,gumroad_username,portrait,monochrome,white_outline,dutch_angle,facebook_logo,one-hour_drawing_challenge,crossover,weibo_watermark,cover,tumblr_username,page_number,commissioner_name,manga_cover,mosaic_censoring,chromatic_aberration,comic,greyscale,cover_page,artstation_username,copyright_notice,thank_you,adapted_costume,deviantart_logo,motion_lines,subtitled,2022,blurry_foreground,company_name,sketch,sample_watermark,close-up,alternate_color,foreshortening,subscribestar_logo,bluesky_logo,letterboxed,twitch_logo,retro_artstyle,gumroad_logo,weibo_logo,2021,notice_lines,happy_birthday,2020,parody,2023,2019,2016,2024,reference_inset,black_border,zoom_layer,2017,pixel_art,motion_blur,happy_new_year,spot_color,convenient_censoring,vehicle_focus,fantasy,wide_shot,still_life,2018
official_alternate_costume	official_alternate_hair_length,transparent_background,blurry,censored,character_name,artist_name,twitter_username,signature,multiple_views,tachi-e,copyright_name,chibi,mosaic_censoring,depth_of_field,bar_censor,copyright_notice,english_text,dutch_angle,white_border,dated,watermark,official_alternate_hair_color,expressions,comic,material_growth,logo,outside_border,number_print,foreshortening,monochrome,blurry_foreground,eagle_union_(emblem),motion_lines,colorful_festival_(project_sekai),1980s_fashion,greyscale,chaldea_logo,cleaning_&_clearing_(blue_archive),official_alternate_eye_color,chibi_only,character_doll,sketch,royal_navy_emblem_(azur_lane),company_name,spirit_blossom_(league_of_legends),weibo_watermark,patreon_username,damaged,defeat,chromatic_aberration,chinese_text,notes,sound_effects,notice_lines,meme,happy_birthday,chibi_inset,portrait,uncensored,adapted_costume,sakura_empire_(emblem),text_print,iron_blood_(emblem),korean_text,sticker,reference_sheet,log_pose,outline,zoom_layer,rabbit_platoon_(blue_archive),crossover,birthday,rhodes_island_logo_(arknights),motion_blur,partially_underwater_shot,letterboxed,one-hour_drawing_challenge,alternate_color,web_address,2koma,weibo_logo,squeans,white_outline,problem_solver_68_(blue_archive),bokeh,chinese_new_year,heart_censor,viewfinder,sidelighting,three_quarter_view,faux_figurine,convenient_censoring,4koma,drop_shadow,sample_watermark,parody,close-up,patreon_logo,squiggle,cover
monochrome	greyscale,comic,spot_color,sketch,lineart,4koma,blue_theme,sepia,bar_censor,hatching_(texture),censored,english_text,silent_comic,motion_lines,2koma,greyscale_with_colored_background,purple_theme,high_contrast,sound_effects,page_number,3koma,brown_theme,multiple_views,red_theme,linear_hatching,screentones,green_theme,parody,dated,pink_theme,multiple_4koma,signature,chinese_text,meme,twitter_username,chibi,artist_name,uncensored,halftone,notice_lines,portrait,1koma,korean_text,crossover,close-up,afterimage,aqua_theme,black_border,segmented_comic,right-to-left_comic,x-ray,yellow_theme,artist_self-insert,official_alternate_costume,orange_theme,chibi_inset,blank_speech_bubble,contemporary,art_tools_in_frame,text_focus,gameplay_mechanics,character_name,flashback,silhouette,trolling,blank_censor,inktober,cross-section,left-to-right_manga,squiggle,profanity,5koma,fourth_wall,outside_border,collage,charisma_break,truth,limited_palette,style_parody,heart_censor,mosaic_censoring,scene_reference,partially_colored,motion_blur,convenient_censoring,dithering,dutch_angle,art_shift,traditional_chinese_text,oekaki,expressions,pun,nanodesu_(phrase),dirty,squeans,ayaya~,shared_speech_bubble,they_had_lots_of_sex_afterwards_(meme),copyright_name,bait_and_switch
signature	dated,artist_name,twitter_username,blurry,watermark,character_name,english_text,white_border,depth_of_field,realistic,web_address,outside_border,official_alternate_costume,patreon_username,portrait,monochrome,outline,copyright_name,sketch,uncensored,logo,dutch_angle,chibi,multiple_views,thank_you,greyscale,white_outline,blurry_foreground,artist_logo,one-hour_drawing_challenge,chromatic_aberration,happy_birthday,foreshortening,alpha_signature,2019,seal_impression,art_tools_in_frame,2020,crossover,commissioner_name,notice_lines,vehicle_focus,deviantart_username,2022,adapted_costume,letterboxed,2023,happy_new_year,close-up,hatching_(texture),spot_color,wide_shot,alternate_color,fantasy,2021,pixiv_id,motion_lines,film_grain,2018,censored,limited_palette,patreon_logo,blue_theme,2024,mecha_focus,meme,instagram_username,2017,splash_page,birthday,still_life,2016,retro_artstyle,bokeh,motion_blur,cursive,roundel,black_border,parody,silhouette,redesign,zoom_layer,other_focus,pixiv_username,merry_christmas,comic,profile_picture,convenient_censoring,transparent,drop_shadow,reference_inset,1980s_(style),character_doll,name_connection,halftone,twitter_logo,partially_colored,comic_cover,contemporary,black_outline
comic	4koma,greyscale,monochrome,2koma,silent_comic,3koma,english_text,1koma,chibi,multiple_4koma,motion_lines,5koma,artist_self-insert,square_4koma,notice_lines,splash_page,censored,real_life_insert,bar_censor,chinese_text,meme,sound_effects,gameplay_mechanics,left-to-right_manga,segmented_comic,page_number,parody,afterimage,korean_text,right-to-left_comic,truth,sepia,flashback,fourth_wall,twitter_username,crossover,borderless_panels,charisma_break,trolling,failure,spot_color,numbered_panels,pun,you're_doing_it_wrong,shared_speech_bubble,they_had_lots_of_sex_afterwards_(meme),scene_reference,partially_colored,so_moe_i'm_gonna_die!,squiggle,cross-section,narration,mosaic_censoring,vertical_comic,close-up,art_shift,chibi_inset,ranguage,spoken_character,engrish_text,profanity,x-ray,artist_name,traditional_chinese_text,contemporary,blank_speech_bubble,simplified_chinese_text,to_be_continued,nanodesu_(phrase),historical_name_connection,spoken_object,multiple_views,official_alternate_costume,ayaya~,motion_blur,idea,...!,age_progression,spoken_light_bulb,color_drain,finnish_text,bait_and_switch,uncensored,mundane_utility,fujiko_f_fujio_(style),shitty_admiral_(phrase),if_they_mated,thai_text,mixed-language_text,ichininmae_no_lady,too_literal,style_parody,silhouette,black_border,newtype_flash,scarlet_devil_mansion,limited_palette,furigana,typo,censored_text
greyscale	monochrome,comic,spot_color,4koma,sketch,lineart,bar_censor,censored,hatching_(texture),english_text,silent_comic,motion_lines,page_number,2koma,sound_effects,3koma,screentones,multiple_views,high_contrast,multiple_4koma,parody,linear_hatching,chinese_text,meme,notice_lines,1koma,uncensored,signature,chibi,dated,twitter_username,artist_name,halftone,korean_text,afterimage,segmented_comic,right-to-left_comic,crossover,portrait,close-up,black_border,artist_self-insert,x-ray,blank_speech_bubble,official_alternate_costume,trolling,flashback,gameplay_mechanics,inktober,cross-section,5koma,blank_censor,fourth_wall,left-to-right_manga,charisma_break,contemporary,art_tools_in_frame,profanity,squiggle,text_focus,character_name,silhouette,truth,scene_reference,mosaic_censoring,traditional_chinese_text,style_parody,collage,heart_censor,ayaya~,battery_indicator,chibi_inset,motion_blur,nanodesu_(phrase),shared_speech_bubble,splash_page,convenient_censoring,outside_border,pun,squeans,scarlet_devil_mansion,narration,they_had_lots_of_sex_afterwards_(meme),dirty,failure,censored_identity,dutch_angle,what,dithering,watermark,you're_doing_it_wrong,copyright_name,foreshortening,ranguage,breast_conscious,official_style,scribble_censor,engrish_text,if_they_mated,expressions
twitter_username	artist_name,dated,one-hour_drawing_challenge,watermark,twitter_logo,signature,instagram_username,english_text,character_name,pixiv_id,chibi,instagram_logo,numbered,blurry,white_border,official_alternate_costume,comic,patreon_username,multiple_views,outside_border,facebook_username,facebook_logo,monochrome,web_address,meme,twitter_x_logo,pixiv_username,outline,depth_of_field,bluesky_username,pixiv_logo,notice_lines,happy_birthday,greyscale,portrait,white_outline,patreon_logo,adapted_costume,sketch,motion_lines,crossover,alpha_signature,dutch_angle,copyright_name,deviantart_logo,gumroad_username,gumroad_logo,2koma,3koma,uncensored,deviantart_username,blurry_foreground,squiggle,foreshortening,historical_name_connection,artist_logo,parody,chromatic_aberration,logo,4koma,censored,contemporary,spot_color,chibi_inset,name_connection,thank_you,tumblr_username,letterboxed,character_doll,alternate_color,chibi_only,text_background,close-up,partially_colored,film_grain,multiple_drawing_challenge,black_border,birthday,zoom_layer,happy_new_year,striped_background,square_4koma,drop_shadow,silent_comic,sound_effects,reference_inset,qr_code,pun,bar_censor,limited_palette,halftone,trait_connection,2023,mixed-language_text,squeans,scene_reference,merry_christmas,1koma,gameplay_mechanics,convenient_censoring
blurry	depth_of_field,blurry_foreground,bokeh,dutch_angle,artist_name,signature,official_alternate_costume,foreshortening,chromatic_aberration,twitter_username,motion_blur,censored,letterboxed,watermark,patreon_username,soft_focus,mosaic_censoring,film_grain,web_address,english_text,uncensored,sidelighting,dated,portrait,photo_background,transparent,bloom,close-up,motion_lines,patreon_logo,bar_censor,white_border,outside_border,logo,copyright_name,character_name,viewfinder,convenient_censoring,3d,pov_cheek_warming_(meme),realistic,meme,caustics,contemporary,wide_shot,perspective,adapted_costume,fisheye,happy_birthday,track_and_field,pov_across_table,artist_logo,fake_screenshot,3d_background,copyright_notice,see-through_silhouette,sound_effects,fine_fabric_emphasis,silhouette,fake_phone_screenshot,cover,vignetting,fantasy,hatsumoude,notice_lines,character_doll,dirty,subtitled,official_alternate_hair_length,from_outside,single_vertical_stripe,mitsudomoe_(shape),muted_color,cover_page,weibo_watermark,twitter_logo,brand_name_imitation,comic,screenshot_background,parody,three_quarter_view,merry_christmas,sketch,blue_theme,crossover,weibo_logo,timestamp,pixiv_id,reflection_focus,hair_censor,alternate_color,cover_image,blur_censor,black_border,outline,chinese_text,hot,birthday,company_name,pink_theme
mosaic_censoring	censored,motion_lines,cross-section,sound_effects,dutch_angle,x-ray,motion_blur,patreon_username,blurry,official_alternate_costume,multiple_views,comic,take_your_pick,web_address,artist_name,tally,fanbox_username,bar_censor,patreon_logo,defeat,afterimage,fake_censor,watermark,foreshortening,english_text,2koma,close-up,subscribestar_username,heart_censor,monochrome,3d_background,gumroad_username,censored_identity,korean_text,greyscale,juxtaposition,through_wall,depth_of_field,jaggy_lines,viewfinder,censored_text,livestream,signature,pornography,pixiv_logo,twitter_username,dated,smell,bad_anatomy,oekaki,sketch,pixiv_username,chinese_text,harvin,lower_body,transparent_background,anime_coloring,official_style,fake_screenshot,official_alternate_hair_length,artistic_error,battery_indicator,inset,letterboxed,fake_phone_screenshot,artist_logo,material_growth,blur_censor,pixel_art,logo,2000s_(style),3d,blurry_foreground,crossover,page_number,spot_color,3koma,outside_border,white_border,meme,transparent,sample_watermark,text_focus,chromatic_aberration,character_name,gameplay_mechanics,silent_comic,squiggle,blue_theme,cover,outline,cover_page,silhouette,adapted_costume,doujin_cover,zoom_layer,convenient_censoring,white_outline,4koma,copyright_name
