blush	ear_blush,full-face_blush,nose_blush,neck_blush,embarrassed,head_steam,body_blush,hand_blush,lovestruck,flustered,peanut_mouth,dashed_eyes,shy,torogao,heavy_breathing,spoken_blush,eargasm,averting_eyes,wavy_mouth,breath,wavy_eyebrows,nervous_smile,fever,raised_eyebrows,heart_in_eye,3:,:>=,happy_facial,heart-shaped_pupils,saliva,spoken_heart,saliva_trail,flying_sweatdrops,ahegao,<|>_<|>,small_sweatdrop,tearing_up,upturned_eyes,@_@,mouth_drool,drooling,sweatdrop,spoken_interrobang,nervous,spoken_squiggle,d;,breast_awe,very_sweaty,power_symbol-shaped_pupils,naughty_face,spoken_sweatdrop,raised_inner_eyebrows,chestnut_mouth,!?,pout,^^^,tears,licking,;o,spoken_anger_vein,d:,!!,:o,;(,surprised,skin_fang,dot_nose,happy_tears,:t,half-closed_eyes,heart_in_mouth,mind_break,yurie_mouth,round_teeth,symbol_in_eye,excessive_nosebleed,spoken_exclamation_mark,double_w,split_mouth,:c,spoken_expression,symbol-shaped_pupils,:i,drawn_whiskers,nyan,clueless,!,:q,;<,tsurime,snot,nervous_sweating,fang,seductive_smile,open_mouth,wavy_eyes,cross-eyed,half-closed_eye,excited,tongue_out
smile	:d,;),;d,c:,crazy_smile,evil_grin,evil_smile,false_smile,grin,nervous_smile,seductive_smile,xd,>:),happy,^_^,w_over_eye,crazy_grin,fingersmile,happy_tears,w,split_mouth,+++,round_teeth,double_w,smug,;3,doyagao,>_o,affectionate,happy_facial,v_over_mouth,excited,;q,\m/,crazy_eyes,fang_out,flower-shaped_pupils,multiple_expressions,heart_in_mouth,x3,lovestruck,:>,naughty_face,upper_teeth_only,laughing,spoken_musical_note,crazy,:q,:3,skin_fang,fang,sideways_mouth,+_+,drawn_whiskers,fangs_out,star-shaped_pupils,giggling,forced_smile,sparkling_eyes,sad_smile,teeth,0_0,blush_stickers,heart-shaped_eyes,\||/,fangs,gesugao,>_<,drop-shaped_pupils,u_u,dot_nose,power_symbol-shaped_pupils,|_|,light_blush,open_mouth,troll_face,._.,star_in_eye,ara_ara,=_=,smiley_face,closed_mouth,symbol_in_eye,short_eyebrows,closed_eyes,sharp_teeth,v-shaped_eyes,unusually_open_eyes,v-shaped_eyebrows,solid_circle_eyes,rape_face,forked_eyebrows,button_eyes,;p,body_blush,long_eyelashes,eyelashes,snort,cross-shaped_pupils,diamond-shaped_pupils
open_mouth	d;,round_teeth,d:,lower_teeth_only,;d,upper_teeth_only,:d,xd,peanut_mouth,heart_in_mouth,skin_fang,mouth_drool,fang,gao,fangs,jaw_drop,torogao,screaming,shouting,rectangular_mouth,dashed_eyes,excited,gasp,+++,>o<,^_^,wide_oval_eyes,drooling,happy,teeth,laughing,distress,>_<,flying_teardrops,saliva,ahegao,>_o,panicking,;o,wavy_eyebrows,0_0,<|>_<|>,@_@,heavy_breathing,breast_awe,^^^,sideways_mouth,surprised,o_o,wavy_eyes,saliva_trail,sharp_teeth,chestnut_mouth,=_=,wide-eyed,constricted_pupils,happy_tears,snort,dizzy,double_w,wall-eyed,w_over_eye,v-shaped_eyes,x3,:o,scared,blank_eyes,gloom_(expression),wavy_mouth,flying_sweatdrops,turn_pale,tearing_up,raised_eyebrows,+_+,t_t,crazy_smile,nervous_smile,flustered,messy_sleeper,w,!?,heart-shaped_pupils,heart_in_eye,spoken_interrobang,!!,eargasm,breath,sparkling_eyes,closed_eyes,no_eyes,lovestruck,horrified,clumsy,comedic_sweatdrop,spoken_sweatdrop,streaming_tears,nose_blush,|_|,blush_stickers,\m/
closed_mouth	:|,dot_mouth,split_mouth,fang_out,:/,expressionless,3:,fangs_out,c:,>:(,:i,:t,multiple_expressions,:c,frown,>:),;(,u_u,light_smile,;),serious,pout,googly_eyes,:<,:>,;<,dot_nose,upturned_eyes,red_eyeliner,averting_eyes,unhappy,light_blush,v-shaped_eyes,pink_lips,:q,eyelashes,sideways_glance,;q,bright_pupils,v-shaped_eyebrows,small_sweatdrop,tsurime,sideways_mouth,;3,blinking,diamond-shaped_pupils,sanpaku,fingersmile,red_eyeshadow,gleam,spoken_squiggle,unamused,drawn_whiskers,shy,:3,raised_eyebrows,no_pupils,determined,doyagao,jitome,puffy_cheeks,\||/,unusually_open_eyes,smug,concentrating,narrowed_eyes,wavy_mouth,spoken_ellipsis,<|>_<|>,pleading_face_emoji,half-closed_eyes,short_eyebrows,sad_smile,v_over_mouth,pursed_lips,lips,...,spoken_blush,half-closed_eye,colored_eyelashes,drop-shaped_pupils,sad,no_nose,gradient_eyes,...?,happy,red_lips,glaring,eyeliner,._.,star_in_eye,smile,raised_eyebrow,eye_contact,nervous,blank_stare,blush_stickers,nose_blush,ringed_eyes,eyeshadow
closed_eyes	^_^,u_u,x3,xd,>_<,messy_sleeper,affectionate,uwu,zzz,laughing,=_=,nose_bubble,>o<,+++,false_smile,happy_tears,sigh,flying_teardrops,0_0,giggling,heart_in_mouth,eargasm,happy,streaming_tears,o_o,|_|,spoken_musical_note,multiple_expressions,mouth_drool,rectangular_mouth,no_mouth,gloom_(expression),turn_pale,v-shaped_eyes,:i,^^^,runny_nose,stomach_growling,._.,spoken_interrobang,sleepy,blush_stickers,o3o,spoken_sweatdrop,flying_sweatdrops,:x,screaming,solid_circle_eyes,solid_oval_eyes,spoken_ellipsis,drooling,crying,spoken_exclamation_mark,blank_eyes,shouting,sad_smile,...,anger_vein,x_x,snot,troll_face,head_steam,spoken_expression,excited,pain,forced_smile,hungry,wide_oval_eyes,!?,<|>_<|>,surprised,!!,!,:>,ear_blush,no_eyes,shaded_face,sideways_mouth,puffy_cheeks,...?,no_nose,unamused,nervous_sweating,annoyed,>_o,:3,puckered_lips,heart-shaped_eyes,clueless,panicking,:t,sad,sweatdrop,blinking,wavy_mouth,<o>_<o>,nosebleed,doyagao,??,spoken_question_mark
:d	xd,^_^,round_teeth,x3,+++,heart_in_mouth,excited,upper_teeth_only,happy,0_0,|_|,>_<,._.,lovestruck,double_w,fang,=_=,>_o,rectangular_mouth,w_over_eye,gao,w,skin_fang,happy_tears,o_o,+_+,open_mouth,smile,v-shaped_eyebrows,laughing,solid_circle_eyes,\m/,fangs,solid_oval_eyes,v-shaped_eyes,blush_stickers,turn_pale,lower_teeth_only,sideways_mouth,nyan,teeth,\||/,>o<,:3,:x,body_blush,drop-shaped_pupils,u_u,heart-shaped_eyes,d:,dot_nose,spoken_musical_note,^^^,;d,sparkling_eyes,short_eyebrows,crazy_smile,gloom_(expression),c:,closed_eyes,:i,star-shaped_pupils,affectionate,false_smile,nervous_smile,button_eyes,small_sweatdrop,;),flying_sweatdrops,o3o,flower-shaped_pupils,smiley_face,mouth_drool,no_nose,>:),<o>_<o>,:>,x_x,sharp_teeth,crazy_eyes,;3,raised_eyebrows,smug,nose_bubble,tsurime,jitome,doyagao,crazy,streaming_tears,eyelashes,star_in_eye,blank_eyes,sigh,symbol_in_eye,sanpaku,v_over_mouth,shaded_face,upturned_eyes,:|,spoken_interrobang
parted_lips	pink_lips,red_lips,nose,lips,purple_lips,chestnut_mouth,:o,lipstick,sideways_glance,black_lips,long_eyelashes,eye_contact,brown_lips,makeup,blue_lips,blood_from_eyes,red_eyeliner,half-closed_eyes,eyeshadow,eyelashes,red_eyeshadow,diamond-shaped_pupils,disgust,;o,light_blush,half-closed_eye,blood_on_face,seductive_smile,colored_eyelashes,small_sweatdrop,raised_eyebrows,blood_from_mouth,sideways_mouth,eyeliner,worried,tsurime,bright_pupils,narrowed_eyes,\||/,gradient_eyes,light_smile,upturned_eyes,breath,lipstick_mark,expressionless,wide-eyed,nose_blush,unusually_open_eyes,crying_with_eyes_open,scowl,sanpaku,ringed_eyes,dot_nose,empty_eyes,ear_blush,star_in_eye,dashed_eyes,smirk,no_pupils,spoken_question_mark,teeth,evil_smile,cross-shaped_pupils,slit_pupils,bags_under_eyes,clenched_teeth,streaming_tears,spoken_interrobang,shaded_face,sleepy,??,button_eyes,short_eyebrows,puckered_lips,grimace,very_sweaty,raised_eyebrow,zzz,symbol_in_eye,heavy_breathing,drop-shaped_pupils,spoken_blush,crying,v-shaped_eyebrows,confused,?,blush,sad,averting_eyes,no_eyes,lower_teeth_only,spoken_exclamation_mark,body_blush,spoken_ellipsis,flying_sweatdrops,grin,serious,flustered,constricted_pupils,turn_pale
teeth	clenched_teeth,lower_teeth_only,round_teeth,sharp_teeth,upper_teeth_only,furious,evil_grin,crazy_smile,long_tongue,crazy,grimace,scowl,evil_smile,crazy_eyes,bloodshot_eyes,cross-shaped_pupils,grin,blood_in_mouth,bulging_eyes,long_eyelashes,constricted_pupils,v-shaped_eyes,fangs,screaming,pain,shouting,half-closed_eye,blood_from_mouth,uneven_eyes,gesugao,happy,excited,tongue,laughing,glaring,disgust,scared,gao,no_eyes,sideways_mouth,no_pupils,wide-eyed,blank_eyes,hollow_eyes,eyelashes,narrowed_eyes,:d,snot,cross-eyed,blood_on_face,raised_eyebrow,sanpaku,pink_lips,glowing_eyes,brown_lips,drooling,crying_with_eyes_open,red_eyeshadow,mouth_drool,saliva,flower-shaped_pupils,heart_in_eye,fangs_out,;d,anger_vein,streaming_tears,forced_smile,solid_eyes,d:,heart_in_mouth,determined,heart-shaped_eyes,v_over_mouth,raised_eyebrows,tearing_up,annoyed,w,star-shaped_pupils,dashed_eyes,crying,black_lips,blood_from_eyes,symbol_in_eye,v-shaped_eyebrows,wavy_eyes,ahegao,panicking,star_in_eye,worried,squinting,drop-shaped_pupils,ringed_eyes,half-closed_eyes,open_mouth,nose,saliva_trail,affectionate,!!,rectangular_mouth,spoken_anger_vein
tongue	:p,:q,;p,;q,long_tongue,tongue_out,licking,ahegao,saliva_trail,saliva,naughty_face,torogao,happy_facial,dashed_eyes,v_over_mouth,cross-eyed,heart-shaped_pupils,:>=,drooling,heart_in_eye,lipstick_mark,crazy,lower_teeth_only,heavy_breathing,symbol-shaped_pupils,upper_teeth_only,fangs,>_o,sharp_teeth,half-closed_eye,uneven_eyes,teeth,spoken_heart,seductive_smile,flower-shaped_pupils,breath,fangs_out,half-closed_eyes,snot,crazy_smile,very_sweaty,crazy_eyes,x_x,symbol_in_eye,star-shaped_pupils,eyelashes,raised_eyebrows,body_blush,ear_blush,w,long_eyelashes,no_eyes,narrowed_eyes,slit_pupils,screaming,double_w,nose_bubble,mouth_drool,\m/,nose_blush,eyeshadow,cross-shaped_pupils,raised_eyebrow,tearing_up,sparkling_eyes,forked_eyebrows,constricted_pupils,eyeliner,eye_contact,squinting,upturned_eyes,blue_lips,red_eyeshadow,tears,round_teeth,open_mouth,black_lips,makeup,u_u,wide-eyed,full-face_blush,star_in_eye,bright_pupils,crying_with_eyes_open,purple_lips,happy,+_+,!!,disgust,heart_in_mouth,short_eyebrows,empty_eyes,smiley_face,red_eyeliner,ringed_eyes,spoken_musical_note,sanpaku,blush,pain,nose
fang	fang_out,skin_fang,gao,nyan,xd,slit_pupils,;d,;3,+++,heart_in_mouth,:3,:d,>o<,>_o,+_+,>_<,smug,short_eyebrows,=_=,mouth_drool,double_w,sideways_mouth,o_o,w,heart_in_eye,0_0,v-shaped_eyebrows,d:,laughing,^_^,blush_stickers,open_mouth,rectangular_mouth,happy,|_|,excited,v_over_mouth,nervous_smile,solid_circle_eyes,@_@,constricted_pupils,spoken_musical_note,anger_vein,^^^,\m/,uneven_eyes,:x,x_x,spoken_interrobang,doyagao,star-shaped_pupils,wavy_mouth,tsurime,shouting,;o,half-closed_eye,sparkling_eyes,spoken_anger_vein,turn_pale,chestnut_mouth,gloom_(expression),flower-shaped_pupils,flying_sweatdrops,!?,drooling,!!,raised_eyebrow,lower_teeth_only,blank_eyes,tearing_up,raised_eyebrows,nose_blush,spoken_heart,solid_oval_eyes,heart-shaped_pupils,dot_nose,spoken_sweatdrop,naughty_face,diamond-shaped_pupils,red_eyeshadow,gradient_eyes,sigh,narrowed_eyes,smile,nervous_sweating,!,annoyed,fangs_out,>:),sanpaku,\||/,symbol-shaped_pupils,symbol_in_eye,sleepy,zzz,jitome,sweatdrop,surprised,small_sweatdrop,flustered
