censored	bar_censor,blank_censor,blur_censor,censored_by_text,censored_identity,censored_text,censored_violence,character_censor,fake_censor,heart_censor,mosaic_censoring,novelty_censor,scribble_censor,transparent_censoring,censored_profanity,cross-section,x-ray,3d_background,change_in_common_sense,sex_ed,juxtaposition,sound_effects,ishikei_(style),queen_of_spades_symbol,tally,light_censor,taker_pov,motion_lines,fanbox_username,afterglow,through_wall,take_your_pick,reverse_netorare,procreate_(software),fake_video,subscribestar_username,motion_blur,pornography,gumroad_username,livestream,defeat,keep_out,convenient_censoring,battery_indicator,afterimage,smell,viewfinder,blank_speech_bubble,art_program_in_frame,crotch_focus,out_of_character,harvin,fake_phone_screenshot,soap_censor,patreon_username,inset,pixiv_logo,reflection_focus,profanity,patreon_logo,2koma,multiple_views,venus_symbol,mars_symbol,korean_text,timestamp,dialogue_box,bad_anatomy,jaggy_lines,sample_watermark,runny_makeup,androgyne_symbol,dutch_angle,greyscale,comic,web_address,pixiv_username,bad_feet,fake_screenshot,hair_censor,konohagakure_symbol,character_age,monochrome,user_interface,bad_proportions,artistic_error,emoji,lower_body,tail_censor,close-up,oekaki,chinese_text,collage,torn,what,foreshortening,anime_coloring,yes,spade_(shape),pixiv_id
artist_name	bluesky_logo,twitter_x_logo,artstation_username,pixiv_logo,twitch_logo,subscribestar_logo,subscribestar_username,twitter_logo,patreon_logo,deviantart_username,instagram_logo,facebook_logo,gumroad_logo,gumroad_username,fanbox_username,facebook_username,patreon_username,deviantart_logo,pixiv_username,web_address,tumblr_username,instagram_username,pixiv_id,commissioner_name,manga_cover,alternate_shiny_pokemon,acronym,watermark,weapon_focus,artist_logo,dated,pinup_(style),cursive,signature,2016,kotoyoro,2017,subtitled,2019,3d,2020,black_outline,qr_code,2022,2018,still_life,worldwide_miku,title,logo,twitter_strip_game,thank_you,circle_name,eye_of_horus,2021,western_comics_(style),2015,twitter_username,novel_cover,2014,isometric,page_number,pink_outline,devil_fruit_power,brown_border,weibo_watermark,2024,realistic,numbered,weibo_logo,fake_cover,2023,like_and_retweet,triforce,poke_ball_symbol,brazilian_flag,toon_(style),spanish_text,reference_inset,english_text,in-universe_location,yellow_border,pokedex_number,runny_makeup,uncensored,grey_border,mixed-language_text,copyright_name,art_tools_in_frame,telekinesis,historical_name_connection,poke_ball_theme,fake_magazine_cover,outside_border,mecha_focus,blue_border,analogous_colors,company_name,character_profile,pink_border,white_outline
official_alternate_costume	1980s_fashion,colorful_festival_(project_sekai),official_alternate_hair_length,number_print,eagle_union_(emblem),cleaning_&_clearing_(blue_archive),royal_navy_emblem_(azur_lane),notes,spirit_blossom_(league_of_legends),official_alternate_hair_color,official_alternate_eye_color,sakura_empire_(emblem),iron_blood_(emblem),rabbit_platoon_(blue_archive),text_print,chaldea_logo,log_pose,problem_solver_68_(blue_archive),rhodes_island_logo_(arknights),expressions,paw_print_pattern,takeuchi_takashi_(style),tachi-e,chinese_new_year,faux_figurine,copyright_notice,material_growth,track_and_field,partially_underwater_shot,sticker,official_alternate_color,transparent_background,defeat,damaged,punk,double_vertical_stripe,back_focus,weibo_watermark,chibi_only,company_name,weibo_logo,caustics,variations,pixiv_username,cameo,starry_sky_print,battery_indicator,fine_fabric_emphasis,3d_background,fake_phone_screenshot,spoken_character,deformed,three_quarter_view,color_guide,pixiv_id,viewfinder,birthday,sidelighting,chibi_inset,squeans,2025,2024,chinese_text,bokeh,character_doll,copyright_name,blurry_foreground,drop_shadow,blurry,reference_sheet,pixiv_logo,logo,character_name,happy_halloween,seigaiha,yes,see-through_silhouette,spade_(shape),depth_of_field,breast_focus,outside_border,happy_valentine,chromatic_aberration,inset,notice_lines,korean_text,2023,fanbox_username,white_border,multiple_views,foreshortening,text_background,sound_effects,broken,patterned_background,trick_or_treat,2021,2020,different_reflection,tail_censor
monochrome	greyscale,lineart,spot_color,sepia,hatching_(texture),high_contrast,screentones,brown_theme,linear_hatching,right-to-left_comic,blue_theme,greyscale_with_colored_background,multiple_4koma,trolling,comic,inktober,flashback,art_shift,ayaya~,charisma_break,segmented_comic,bait_and_switch,purple_theme,aqua_theme,1koma,green_theme,4koma,blank_speech_bubble,nanodesu_(phrase),left-to-right_manga,silent_comic,page_number,narration,art_tools_in_frame,red_theme,sketch,to_be_continued,traditional_chinese_text,so_moe_i'm_gonna_die!,3koma,shared_speech_bubble,orange_theme,truth,5koma,dithering,pink_theme,2koma,yellow_theme,they_had_lots_of_sex_afterwards_(meme),thai_text,fourth_wall,blank_censor,splash_page,sound_effects,halftone,how_to,multiple_monochrome,inconvenient_breasts,mundane_utility,scarlet_devil_mansion,artist_self-insert,profanity,afterglow,scribble_censor,out_of_character,collage,censored_text,battery_indicator,failure,grey_theme,chinese_text,afterimage,wall_of_text,censored_identity,good_end,if_they_mated,motion_lines,you're_doing_it_wrong,breast_conscious,blending,what,text_messaging,bar_censor,black_border,text_focus,jojo_pose,bad_end,age_progression,height_chart,square_4koma,x-ray,character_age,pornography,notice_lines,scene_reference,korean_text,comparison,chaldea_logo,gameplay_mechanics,before_and_after
signature	seal_impression,alpha_signature,profile_picture,dated,art_tools_in_frame,commissioner_name,comic_cover,2019,splash_page,deviantart_username,roundel,cursive,2020,2018,kotoyoro,thank_you,black_outline,pixiv_id,artist_name,soviet,2017,facebook_username,realistic,2016,western_comics_(style),still_life,instagram_username,2022,gumroad_username,redesign,2021,2023,zeon,mecha_focus,pixiv_username,2024,brown_border,very_wide_shot,2014,2015,hatching_(texture),yellow_border,historical_name_connection,2013,blending,inset_border,grey_border,instagram_logo,vehicle_focus,linear_hatching,web_address,single_vertical_stripe,sailor_moon_redraw_challenge_(meme),1980s_(style),torn,colored_shadow,eye_of_horus,nengajou,outside_border,poke_ball_symbol,cyberpunk,white_outline,post-apocalypse,akeome,countdown,artist_logo,toon_(style),painterly,blue_border,eye_trail,outline,twitter_logo,happy_new_year,adapted_turret,birthday,bokeh,nike_(company),white_border,twitter_username,film_grain,back_focus,milestone_celebration,2025,lalafell,reference_inset,fantasy,wide_shot,chromatic_aberration,pink_border,watermark,patreon_username,limited_palette,telekinesis,single_horizontal_stripe,photo_inset,merry_christmas,blurry_foreground,drop_shadow,three_quarter_view,real_world_location
comic	1koma,2koma,3koma,4koma,5koma,multiple_4koma,silent_comic,square_4koma,splash_page,vertical_comic,numbered_panels,right-to-left_comic,borderless_panels,left-to-right_manga,segmented_comic,flashback,charisma_break,real_life_insert,trolling,idea,fujiko_f_fujio_(style),spoken_light_bulb,art_shift,color_drain,narration,so_moe_i'm_gonna_die!,...!,newtype_flash,ayaya~,ichininmae_no_lady,finnish_text,artist_self-insert,truth,to_be_continued,bait_and_switch,shared_speech_bubble,nanodesu_(phrase),mvp,shitty_admiral_(phrase),they_had_lots_of_sex_afterwards_(meme),fourth_wall,is_that_so,furigana,traditional_chinese_text,myon_(phrase),thai_text,mukyuu,credits,too_literal,greyscale,mundane_utility,failure,source_quote_parody,you're_doing_it_wrong,space_cat_(meme),blank_speech_bubble,bkub_(style),gacha_(game_mechanic),page_number,monochrome,knights_of_the_round_table_(fate),colored_speech_bubble,censored_text,historical_name_connection,gameplay_mechanics,araki_hirohiko_(style),sepia,simplified_chinese_text,spoken_object,afterimage,source_quote,notice_lines,spoken_character,chinese_text,text_messaging,neta,pokemon_move,before_and_after,dating,scarlet_devil_mansion,age_progression,profanity,sound_effects,if_they_mated,spoken_zzz,partially_shaded_face,good_end,pun,meta,korean_text,screentones,aroused_nosebleed,wall_of_text,bilingual,scene_reference,pornography,censored_identity,sequential,motion_lines,engrish_text
greyscale	monochrome,lineart,screentones,hatching_(texture),multiple_4koma,right-to-left_comic,high_contrast,linear_hatching,trolling,spot_color,flashback,inktober,comic,ayaya~,segmented_comic,charisma_break,1koma,4koma,page_number,blank_speech_bubble,narration,nanodesu_(phrase),left-to-right_manga,silent_comic,traditional_chinese_text,5koma,shared_speech_bubble,art_tools_in_frame,truth,3koma,fourth_wall,sketch,splash_page,they_had_lots_of_sex_afterwards_(meme),blank_censor,2koma,sound_effects,artist_self-insert,scarlet_devil_mansion,dithering,battery_indicator,scribble_censor,halftone,chinese_text,profanity,afterimage,failure,censored_identity,collage,square_4koma,bar_censor,breast_conscious,text_messaging,black_border,motion_lines,you're_doing_it_wrong,what,notice_lines,pornography,x-ray,character_age,if_they_mated,korean_text,bad_end,scene_reference,age_progression,gameplay_mechanics,chaldea_logo,art_program_in_frame,text_focus,cross-section,timestamp,english_text,livestream,pun,harvin,mixed-language_text,parody,meme,typo,squeans,squiggle,style_parody,dirty,silhouette,close-up,greyscale_with_colored_background,engrish_text,through_wall,ranguage,chibi_inset,censored,novelty_censor,eye_focus,spoken_character,mars_symbol,smell,official_style,contemporary,instagram_username
twitter_username	bluesky_username,instagram_username,twitter_logo,facebook_logo,pixiv_id,gumroad_logo,instagram_logo,twitter_x_logo,facebook_username,alpha_signature,numbered,deviantart_logo,one-hour_drawing_challenge,gumroad_username,pixiv_logo,pixiv_username,tumblr_username,historical_name_connection,dated,deviantart_username,square_4koma,multiple_drawing_challenge,watermark,qr_code,artist_name,pokedex_number,1koma,text_background,cursive,thank_you,blue_border,flower_(symbol),oda_uri,pocky_day,patreon_logo,like_and_retweet,commissioner_name,pink_border,notice_lines,mixed-language_text,grey_border,3others,emoji,white_outline,patreon_username,single_horizontal_stripe,signature,outside_border,family_crest,adapted_turret,white_border,3koma,happy_birthday,2023,screentones,reference_inset,name_connection,milestone_celebration,squiggle,subtitled,outline,web_address,character_name,2024,drop_shadow,happy_valentine,birthday,2022,partially_colored,pun,english_text,star_symbol_background,scene_reference,single_vertical_stripe,pastel_colors,twitter_strip_game,2019,poke_ball_symbol,2020,spoken_character,fanbox_username,plaid_background,meme,heart_background,patterned_background,photo_inset,chibi_inset,color_guide,you're_doing_it_wrong,spoken_object,2021,happy_halloween,striped_background,2koma,2025,chibi,squeans,film_grain,three_quarter_view,chibi_only
blurry	blurry_foreground,bokeh,depth_of_field,soft_focus,pov_cheek_warming_(meme),pov_across_table,track_and_field,hatsumoude,bloom,sidelighting,vignetting,film_grain,screenshot_background,caustics,photo_background,chromatic_aberration,3d_background,from_outside,motion_blur,viewfinder,reflection_focus,transparent,fake_phone_screenshot,dutch_angle,fisheye,fine_fabric_emphasis,foreshortening,kamisato_clan_(emblem),timestamp,single_vertical_stripe,perspective,3d,letterboxed,patreon_logo,single_horizontal_stripe,pixiv_id,patreon_username,see-through_silhouette,eye_trail,partially_underwater_shot,subtitled,deviantart_username,fake_screenshot,cameo,web_address,battery_indicator,dialogue_box,pixiv_username,mitsudomoe_(shape),cover_image,wide_shot,light_censor,muted_color,twitter_logo,blur_censor,brand_name_imitation,3others,back_focus,close-up,fanbox_username,realistic,three_quarter_view,real_world_location,smell,signature,watermark,eye_focus,weibo_logo,song_name,artist_name,dirty,roman_numeral,portrait,contemporary,merry_christmas,silhouette,instagram_username,spade_(shape),starry_sky_print,2020,logo,copyright_notice,unmoving_pattern,anime_coloring,user_interface,colorful,hot,official_alternate_hair_length,artist_logo,faux_traditional_media,outside_border,motion_lines,scene_reference,weibo_watermark,convenient_censoring,fantasy,sticker,broken,thank_you,glitch
mosaic_censoring	fake_censor,censored,cross-section,subscribestar_username,juxtaposition,x-ray,gumroad_username,fanbox_username,sound_effects,tally,motion_lines,censored_text,3d_background,take_your_pick,motion_blur,censored_identity,defeat,through_wall,pornography,livestream,pixiv_logo,afterimage,patreon_username,patreon_logo,pixiv_username,dutch_angle,harvin,jaggy_lines,viewfinder,smell,battery_indicator,web_address,inset,fake_phone_screenshot,anime_coloring,heart_censor,korean_text,bad_anatomy,2koma,lower_body,blur_censor,multiple_views,close-up,oekaki,artistic_error,official_style,foreshortening,2000s_(style),fake_screenshot,blurry,bar_censor,official_alternate_hair_length,chinese_text,material_growth,comic,official_alternate_costume,watermark,3d,page_number,artist_name,text_focus,pixel_art,depth_of_field,artist_logo,transparent,english_text,3koma,sample_watermark,gameplay_mechanics,letterboxed,transparent_background,greyscale,squiggle,blurry_foreground,monochrome,sketch,silent_comic,chromatic_aberration,spot_color,dated,logo,silhouette,signature,blue_theme,twitter_username,crossover,outside_border,meme,zoom_layer,outline,white_border,doujin_cover,white_outline,cover_page,cover,adapted_costume,convenient_censoring,4koma,character_name,parody
