1girl	solo,hetero,1boy,virtual_youtuber,solo_focus,maid,military,multiple_boys,magical_girl,christmas,personification,borrowed_character,lolita_fashion,couple,1other,enmaided,halloween,2boys,interracial,age_difference,cheerleader,nun,valentine,office_lady,brother_and_sister,new_year,3boys,gothic_lolita,nontraditional_miko,nurse,miko,witch,chinese_zodiac,onee-shota,mecha_musume,ninja,race_queen,science_fiction,interspecies,kitsune,waitress,idol,inkling,summer,unconventional_maid,size_difference,oppai_loli,winter,bride,police,nekomata,netorare,animification,dancer,femdom,jirai_kei,dark_persona,siblings,policewoman,yandere,husband_and_wife,nontraditional_playboy_bunny,goth_fashion,ancient_egyptian,instant_loss,pokephilia,4boys,kyuubi,jiangshi,furry_with_non-furry,teacher,humanization,anniversary,octoling,wa_maid,slime_girl,incest,karakasa_obake,corruption,prostitution,slave,multiple_others,horror_(theme),knight,cheating_(relationship),creature_and_personification,year_of_the_tiger,tsundere,mother_and_son,princess,bangboo_(zenless_zone_zero),year_of_the_rabbit,year_of_the_ox,humiliation,pirate,transformation,sangvis_ferri,ballerina,surreal,father_and_daughter
solo	1girl,virtual_youtuber,male_focus,maid,1boy,magical_girl,military,christmas,lolita_fashion,enmaided,bara,halloween,valentine,borrowed_character,personification,cheerleader,new_year,science_fiction,nun,gothic_lolita,chinese_zodiac,nontraditional_miko,miko,mecha_musume,office_lady,witch,no_humans,nurse,race_queen,ninja,crossdressing,waitress,idol,kitsune,summer,unconventional_maid,winter,nekomata,dancer,inkling,animification,dark_persona,bride,jirai_kei,nontraditional_playboy_bunny,goth_fashion,police,ancient_egyptian,kyuubi,1other,jiangshi,wa_maid,policewoman,karakasa_obake,oppai_loli,humanization,yandere,anniversary,animal_focus,octoling,year_of_the_tiger,fusion,year_of_the_rabbit,knight,year_of_the_ox,horror_(theme),teacher,corruption,slime_girl,e.g.o_(project_moon),kono_lolicon_domome,surreal,pirate,super_saiyan,bunny_day,ballerina,cat_day,samurai,year_of_the_dragon,ballet,sangvis_ferri,princess,sailor,year_of_the_snake,serval_print,shinsengumi,paizuri_invitation,cowboy_western,heart-shaped_boob_challenge,k/da_(league_of_legends),self-harm,knight_(chess),guro,tsundere,stripper,weight_conscious,slave,clothed_pokemon,bangboo_(zenless_zone_zero),transformation
multiple_girls	2girls,yuri,3girls,4girls,6+girls,sisters,siblings,5girls,multiple_boys,twins,dual_persona,futa_with_female,mother_and_daughter,1boy,everyone,maid,virtual_youtuber,military,6+boys,2boys,couple,incest,magical_girl,3boys,multiple_persona,solo_focus,onee-loli,wife_and_wife,age_difference,femdom,hetero,female_pervert,clone,nontraditional_miko,pervert,family,harem,bisexual_female,4boys,fff_threesome,in-franchise_crossover,futa_with_futa,time_paradox,christmas,inkling,halloween,5boys,ho-kago_tea_time,anniversary,size_difference,father_and_daughter,serval_print,selfcest,brother_and_sister,nun,kodomo_doushi,new_year,yukkuri_shiteitte_ne,twincest,cousins,miko,enmaided,1other,angel_and_devil,lolita_fashion,octoling,triplets,holomyth,team_9_(touhou),karakasa_obake,jiangshi,glutton,friends,look-alike,aunt_and_niece,valentine,personification,sexual_coaching,game_development_department_(blue_archive),witch,waitress,mother_and_son,motherly,idol,absolutely_everyone,nekomata,kitsune,sailor_senshi,interracial,police,gothic_lolita,holocouncil,husband_and_wife,misunderstanding,nurse,tsundere,summer,tea_party_(blue_archive),winter,role_reversal
1boy	hetero,male_focus,solo_focus,1girl,couple,brother_and_sister,bara,age_difference,crossdressing,interracial,multiple_girls,onee-shota,solo,siblings,2girls,femdom,husband_and_wife,interspecies,size_difference,military,incest,father_and_daughter,virtual_youtuber,netorare,3girls,furry_with_non-furry,instant_loss,mother_and_son,bisexual_female,harem,futa_on_male,maid,twins,pokephilia,cheating_(relationship),1other,family,super_saiyan,male_playboy_bunny,mother_and_daughter,4girls,furry_with_furry,male_maid,kodomo_doushi,nun,6+girls,prostitution,lolidom,alternate_universe,borrowed_character,tentacles_on_male,sexual_coaching,science_fiction,oppai_loli,male_on_futa,dual_persona,salaryman,personification,knight,sisters,alternate_form,sadism,christmas,wedding,transformation,5girls,magical_boy,animification,ninja,super_saiyan_4,aunt_and_nephew,e.g.o_(project_moon),police,priest,groom,nurse,office_lady,death,multiple_others,yandere,pervert,butler,cousins,implied_yaoi,mixed-sex_combat,team_rocket,inkling,tsundere,enmaided,super_saiyan_1,twincest,abuse,chikan,halloween,reverse_fellatio,newhalf_with_male,bride,humiliation,uncle_and_niece,humanization
2girls	multiple_girls,yuri,sisters,siblings,twins,dual_persona,futa_with_female,mother_and_daughter,1boy,couple,incest,virtual_youtuber,multiple_boys,wife_and_wife,maid,onee-loli,femdom,2boys,bisexual_female,age_difference,military,solo_focus,hetero,magical_girl,futa_with_futa,female_pervert,pervert,family,inkling,selfcest,twincest,time_paradox,kodomo_doushi,size_difference,nontraditional_miko,christmas,angel_and_devil,father_and_daughter,cousins,serval_print,3boys,halloween,in-franchise_crossover,sexual_coaching,octoling,brother_and_sister,enmaided,interracial,new_year,look-alike,lolita_fashion,miko,4boys,mother_and_son,friends,valentine,clone,yukkuri_shiteitte_ne,futasub,husband_and_wife,1other,borrowed_character,interspecies,jiangshi,role_reversal,personification,dark_persona,newhalf_with_female,nun,witch,motherly,waitress,police,kitsune,gothic_lolita,tsundere,karakasa_obake,nurse,anniversary,6+boys,winter,wedding,nekomata,step-sisters,aunt_and_niece,summer,furry_with_furry,animification,policewoman,alternate_universe,glutton,shadow_(shadows_house),chinese_zodiac,death,futa_without_pussy,implied_yuri,5boys,office_lady,rivalry,cheerleader
hetero	1boy,solo_focus,1girl,couple,interracial,age_difference,multiple_boys,onee-shota,interspecies,3boys,netorare,femdom,2boys,furry_with_non-furry,incest,instant_loss,pokephilia,cheating_(relationship),size_difference,4boys,husband_and_wife,virtual_youtuber,harem,multiple_girls,2girls,brother_and_sister,prostitution,bisexual_female,kodomo_doushi,furry_with_furry,siblings,5boys,reverse_fellatio,chikan,lolidom,sexual_coaching,6+boys,abuse,borrowed_character,oppai_loli,humiliation,slave,maid,sadism,mother_and_son,toddlercon,3girls,twincest,nun,drugged,wedding,military,anal_only,groom,public_use,twins,captured,nurse,sisters,father_and_daughter,ryona,cheerleader,bride,mother_and_daughter,netorase,mixed-sex_combat,josou_seme,teacher_and_student,teacher,boy_sandwich,office_lady,aunt_and_nephew,drugs,slime_girl,reverse_ryona,soapland,pervert,dominatrix,christmas,accidental_pervert,crossdressing,masochism,family,4girls,cousins,ero_guro,ninja,time_stop,female_pervert,miko,implied_incest,selfcest,magical_girl,tsundere,role_reversal,sheikah,police,personification,implied_after_sex,topless_female
virtual_youtuber	1girl,solo,multiple_girls,2girls,solo_focus,holomyth,hetero,1boy,jirai_kei,holocouncil,hololive_fantasy,yuri,maid,holox,3girls,5girls,twins,nurse,pirate,idol,lolita_fashion,mascot,nun,detective,gothic_lolita,wa_maid,enmaided,sisters,4girls,multiple_boys,siblings,interracial,male_focus,1other,christmas,6+girls,halloween,nontraditional_miko,goth_fashion,valentine,dual_persona,yandere,2boys,summer,office_lady,dinosaur_costume,unconventional_maid,anniversary,cheerleader,multiple_others,police,3boys,new_year,dark_persona,futa_with_female,witch,mother_and_daughter,tanuki,policewoman,princess,winter,crossdressing,nontraditional_playboy_bunny,couple,objectification,4boys,bunny_day,instant_loss,chinese_zodiac,miko,multiple_persona,everyone,horror_(theme),2others,delinquent,age_difference,astronaut,summer_festival,wife_and_wife,female_pervert,fusion,femdom,pervert,topless_female,bride,science_fiction,clone,selfcest,race_queen,cat_day,cowboy_western,clothed_animal,6+others,size_difference,onee-shota,6+boys,kitsune,bisexual_female,waitress,netorare
solo_focus	hetero,1boy,1girl,multiple_boys,interracial,2boys,1other,3boys,multiple_girls,virtual_youtuber,yaoi,interspecies,4boys,2girls,people,male_focus,furry_with_non-furry,femdom,netorare,age_difference,multiple_others,pokephilia,5boys,size_difference,6+boys,chikan,3girls,bara,prostitution,humiliation,abuse,instant_loss,reverse_fellatio,maid,cheating_(relationship),borrowed_character,oppai_loli,male_on_futa,2others,slave,6+others,nun,cheerleader,military,crossdressing,penis_size_difference,public_use,onee-shota,office_lady,nurse,lolidom,4girls,furry_with_furry,anal_only,futa_with_female,captured,ryona,incest,yuri,toddlercon,mmm_threesome,christmas,sadism,police,siblings,drugged,death,brother_and_sister,pervert,magical_girl,teacher,jiangshi,5girls,6+girls,female_pervert,personification,policewoman,miko,slime_girl,waitress,drugs,ninja,masochism,torture,yandere,sangvis_ferri,guro,enmaided,bride,science_fiction,kitsune,idol,futa_on_male,futasub,halloween,topless_female,soldier,futa_without_pussy,ancient_egyptian,couple
male_focus	1boy,yaoi,bara,2boys,multiple_boys,crossdressing,solo,3boys,super_saiyan,male_playboy_bunny,brothers,male_maid,4boys,mmm_threesome,onii-shota,implied_yaoi,super_saiyan_4,super_saiyan_1,couple,tentacles_on_male,6+boys,father_and_son,solo_focus,penis_size_difference,super_saiyan_blue,5boys,muscular_uke,size_difference,josou_seme,saiyan,dual_persona,salaryman,animification,alternate_form,husband_and_husband,knight,alternate_universe,boy_sandwich,interspecies,interracial,primarch,e.g.o_(project_moon),science_fiction,magical_boy,samurai,maid,furry_with_non-furry,furry_with_furry,hyur,transformation,enmaided,priest,policeman,ninja,humanization,virtual_youtuber,siblings,multiple_persona,legendary_super_saiyan,1other,age_difference,military,personification,masked,waiter,spartan_(halo),death,teacher_and_student,time_paradox,dark_persona,cowboy,lifeguard,selfcest,wizard,guro,clown,horror_(theme),christmas,butler,multiple_others,police,pirate,chinese_zodiac,nun,doctor,kodomo_doushi,monk,soldier,fusion,seraph,anniversary,shinsengumi,clone,halloween,alternate_species,surreal,winter,onmyouji,ancient_egyptian,oversized_animal
multiple_boys	2boys,3boys,yaoi,male_focus,4boys,6+boys,5boys,bara,hetero,brothers,solo_focus,multiple_girls,father_and_son,everyone,crossdressing,6+girls,interracial,1girl,siblings,2girls,3girls,couple,mmm_threesome,family,onii-shota,4girls,interspecies,brother_and_sister,boy_sandwich,mother_and_son,age_difference,size_difference,dual_persona,penis_size_difference,netorare,father_and_daughter,super_saiyan,josou_seme,5girls,muscular_uke,alternate_universe,absolutely_everyone,furry_with_non-furry,multiple_persona,time_paradox,husband_and_wife,straw_hat_pirates,super_saiyan_1,implied_yaoi,husband_and_husband,anniversary,male_harem,onee-shota,furry_with_furry,male_playboy_bunny,soldier,animification,grandfather_and_grandson,bisexual_female,humiliation,military,super_saiyan_4,chikan,knight,1other,twins,policeman,in-franchise_crossover,science_fiction,reverse_fellatio,cheating_(relationship),male_maid,multiple_others,super_saiyan_blue,saiyan,kodomo_doushi,salaryman,death,teacher_and_student,uncle_and_nephew,ninja,mother_and_daughter,people,hyur,clone,waiter,friends,captured,butler,police,shotadom,maid,slave,virtual_youtuber,priest,alternate_form,prostitution,half-siblings,team_rocket,party
