looking_at_viewer	bed_invitation,lap_pov,hands_on_eyewear,incoming_drink,ok_sign_over_eye,spread_cleavage,reaching_towards_viewer,bikini_tug,double_fox_shadow_puppet,on_innertube,finger_to_tongue,head_tilt,presenting_foot,claw_pose,incoming_food,cunnilingus_gesture,strap_pull,come_hither,sitting_on_water,gyaru_v,strap_lift,offering_hand,presenting_armpit,fellatio_gesture,kabedon_on_viewer,lifting_covers,hand_on_eyewear,inward_v,hoshino_ai's_pose,pointing_at_viewer,arm_under_breasts,arm_across_waist,half-heart_hands,lap_pillow_invitation,hand_on_own_thigh,adjusting_headphones,looking_over_eyewear,ghost_pose,spread_armpit,finger_heart,twisted_torso,holding_handcuffs,pouring_onto_self,horns_pose,chocolate_on_breasts,shushing,finger_to_eye,handjob_gesture,presenting_breasts,arm_between_legs,hand_to_head,jacket_pull,cream_on_breasts,finger_to_cheek,adjusting_hood,shirt_hold,holding_swim_ring,holding_pom_poms,arm_at_side,hand_on_own_foot,cord_pull,chocolate_on_body,arm_above_head,4-finger_heart_hands,knee_up,foot_up,contrapposto,hands_in_own_hair,the_pose,cowboy_shot,foot_out_of_frame,hand_up,index_fingers_raised,heart_in_heart_hands,fingers_to_cheeks,knee_to_chest,hand_in_own_hair,ass_visible_through_thighs,string_pull,arms_under_breasts,opened_by_self,hand_on_own_ankle,hand_on_own_leg,arms_between_legs,patting_lap,tail_around_own_leg,looking_back,x_fingers,finger_frame,hands_on_own_leg,biting_glove,w_arms,pulling_own_clothes,holding_lollipop,flashing,belly_dancing,pinching_sleeves,playing_with_own_hair,heart_hands,curtain_grab
holding	asymmetrical_dual_wielding,between_fingers,card_between_fingers,drawing_bow,drawing_sword,dual_wielding,holding_animal,holding_arrow,holding_axe,holding_bag,holding_ball,holding_balloon,holding_barcode_scanner,holding_baseball_bat,holding_basket,holding_beachball,holding_behind_back,holding_bell,holding_binoculars,holding_bird,holding_blanket,holding_book,holding_bottle,holding_bow_(weapon),holding_bowl,holding_box,holding_branch,holding_broom,holding_brush,holding_bucket,holding_burger,holding_camera,holding_can,holding_candy,holding_cane,holding_card,holding_carrot,holding_cat,holding_chain,holding_chainsaw,holding_chocolate,holding_chopsticks,holding_cigar,holding_cigarette,holding_clipboard,holding_clothes_hanger,holding_coin,holding_collar,holding_comb,holding_condom,holding_controller,holding_cotton_candy,holding_crayon,holding_creature,holding_crepe,holding_cross,holding_crossbow,holding_crown,holding_cup,holding_dagger,holding_dog,holding_doll,holding_drink,holding_drumsticks,holding_duster,holding_egg,holding_fireworks,holding_fishing_rod,holding_flag,holding_flask,holding_flower,holding_flute,holding_food,holding_footwear,holding_fork,holding_fruit,holding_frying_pan,holding_game_controller,holding_gem,holding_gift,holding_gloves,holding_goggles,holding_gohei,holding_guitar,holding_gun,holding_hair_brush,holding_hammer,holding_handcuffs,holding_handheld_game_console,holding_hat,holding_heart,holding_helmet,holding_ice_cream,holding_ice_cream_cone,holding_jacket,holding_jewelry,holding_key,holding_knife,holding_ladle,holding_leaf
sitting	butterfly_sitting,human_chair,indian_style,seiza,sitting_backwards,sitting_in_tree,sitting_on_box,sitting_on_head,sitting_on_lap,sitting_on_object,sitting_on_person,sitting_on_stairs,sitting_on_table,wariza,yokozuwari,sitting_on_throne,foot_dangle,on_rock,on_bench,on_stool,patting_lap,feet_on_chair,on_chair,lap_pillow_invitation,soaking_feet,animal_on_lap,cat_on_lap,hands_on_lap,on_box,sitting_on_tree_stump,in_tree,sitting_on_water,sitting_on_pillow,on_lap,hand_on_own_ankle,arms_on_knees,sitting_sideways,head_on_knees,on_desk,crossed_legs,arm_on_knee,arms_between_legs,elbow_on_knee,feet_on_table,hands_on_own_knee,sitting_on_log,sitting_on_roof,applying_pedicure,on_car,hand_between_legs,meditation,hand_on_lap,hands_on_feet,on_toilet,extreme_dangling,sleeping_upright,on_railing,sitting_on_branch,arm_between_legs,knees_up,sitting_on_face,hugging_own_legs,knee_to_chest,hand_on_own_foot,playing_piano,elbows_on_knees,hands_on_own_leg,tied_to_chair,between_legs,arm_support,tying_footwear,knee_up,wakamezake,elbow_on_table,hand_rest,at_computer,on_wall,hand_on_floor,presenting_foot,putting_on_legwear,on_tank,knitting,hand_on_own_knee,crossed_ankles,holding_own_foot,hand_on_ground,on_ground,on_couch,sitting_on_food,lying_on_lap,painting_fingernails,lap_pillow,knees_apart_feet_together,leaning_back,pony_play,applying_manicure,watching_television,clothes_between_thighs,convenient_leg,holding_game_controller
standing	standing_anilingus,standing_cunnilingus,standing_missionary,standing_on_chair,standing_on_liquid,standing_on_one_leg,standing_sex,standing_split,split,axe_kick,heel_up,legs_apart,contrapposto,arabesque_(pose),pigeon-toed,pitching,turnaround,adjusting_shoe,have_to_pee,flexible,en_pointe,adjusting_footwear,standing_on_object,rearing,lineup,holding_behind_back,against_door,holding_leg,arms_at_sides,arm_at_side,sway_back,high_kick,hand_on_hilt,holding_swim_ring,skirt_caught_on_object,balancing,opened_by_self,leg_lift,hand_grip,hand_on_railing,apron_hold,hands_on_hilt,wringing_skirt,holding_mop,hand_on_wall,leg_up,leg_hold,legs_together,holding_violin,cross-body_stretch,hand_on_own_hip,wading,holding_bag,wringing_clothes,holding_own_leg,cowboy_shot,hand_on_own_elbow,hanging_legs,elbow_carry,against_wall,hand_in_pocket,holding_broom,against_railing,arm_behind_back,wind_lift,stepping,holding_ball,hands_on_own_hips,holding_jacket,holding_racket,facing_away,on_stairs,skirt_hold,w_arms,holding_bucket,holding_strap,side-by-side,waiting,peeing_self,hands_in_pockets,hand_on_weapon,unsheathed,holding_shower_head,trying_on_clothes,ass_visible_through_thighs,arm_held_back,hands_in_pocket,holding_cane,holding_plant,holding_teapot,hand_on_glass,two-handed,suspended_congress,holding_basket,holding_surfboard,public_vibrator,holstered,full_body,raised_fist,jacket_over_shoulder
full_body	heel_up,pigeon-toed,turnaround,en_pointe,plantar_flexion,asymmetrical_dual_wielding,heel_pop,hand_on_own_foot,crossed_ankles,tiptoes,rearing,hand_on_own_ankle,jack-o'_challenge,slav_squatting,holding_mop,dorsiflexion,clothes_between_thighs,knees_apart_feet_together,hands_on_ground,knees_together_feet_apart,foot_dangle,elbows_on_knees,legs_apart,standing_on_one_leg,on_stairs,legs_folded,midair,hand_on_ground,fetal_position,holding_own_foot,standing_on_liquid,holding_scepter,walking,floating,shoe_dangle,feet_on_chair,walking_on_liquid,sitting_on_branch,outstretched_leg,bound_ankles,arms_on_knees,spread_toes,adjusting_footwear,putting_on_footwear,foot_up,hands_on_own_legs,on_one_knee,holding_crossbow,jumping,hands_on_feet,yoga,hogtie,holding_scythe,feet_up,holding_broom,on_stool,lineup,holding_trident,holding_cane,hands_on_floor,one_arm_handstand,holding_bow_(weapon),holding_gohei,holding_polearm,holding_with_feet,hand_on_weapon,arm_on_knee,have_to_pee,indian_style,holstered,curtsey,skateboarding,between_toes,object_floating_above_hand,wrong_foot,planted,holding_axe,hand_on_hilt,handstand,unsheathed,holding_duster,holding_microphone_stand,hand_on_floor,hugging_own_legs,elbow_on_knee,curled_up,holding_shield,holding_pickaxe,peeing_self,convenient_leg,hydrokinesis,standing,hand_on_own_leg,knees_up,trigger_discipline,elbow_carry,hand_on_own_knee,arms_at_sides,hands_on_own_knees,balancing
upper_body	cropped_torso,hoshino_ai's_pose,fingers_to_cheeks,koi_dance,arm_on_table,spread_armpit,adjusting_scarf,elbows_on_table,mouth_pull,noses_touching,steepled_fingers,breasts_on_table,index_fingers_raised,finger_heart,x_fingers,pose_imitation,holding_creature,presenting_breasts,incoming_food,index_fingers_together,removing_eyewear,bunching_hair,looking_at_food,finger_to_cheek,elbow_on_table,heart_in_heart_hands,looking_at_hand,hands_on_another's_cheeks,holding_pocky,finger_to_own_chin,cheek_squash,heart_hands_failure,hands_up,between_pectorals,4-finger_heart_hands,incoming_gift,holding_toothbrush,pectoral_grab,teeth_hold,holding_dog,incoming_kiss,hand_on_own_neck,holding_lighter,holding_own_hair,wiping_tears,adjusting_gloves,hands_on_own_cheeks,shrugging,facing_viewer,finger_frame,forehead-to-forehead,holding_flower,cheek_pinching,holding_heart,wiping_mouth,food_on_hand,palms_together,heart_hands,applying_makeup,adjusting_necktie,heads_together,after_paizuri,glove_pull,scratching_cheek,hands_on_own_face,playing_with_own_hair,holding_burger,fingers_to_mouth,tying_hair,head_on_head,rice_on_face,cutting_hair,holding_cat,hands_on_another's_face,holding_branch,hand_on_own_chin,pectoral_press,presenting_armpit,hands_on_own_breasts,hands_on_own_chin,wrist_cutting,adjusting_eyewear,looking_ahead,hand_on_another's_cheek,animal_on_shoulder,holding_chocolate,butterfly_on_hand,hand_on_another's_arm,cheek_poking,kissing_cheek,pocky_in_mouth,fidgeting,profile,straddling_paizuri,facing_another,pointing_at_self,holding_chopsticks,hands_on_own_chest,holding_animal,stroking_own_chin
cowboy_shot	contrapposto,cross-body_stretch,ass_visible_through_thighs,wringing_skirt,sway_back,cropped_legs,swimsuit_lift,w_arms,arm_at_side,arm_behind_back,sweater_tug,wringing_clothes,adjusting_swimsuit,bikini_tug,adjusting_leotard,opened_by_self,holding_swim_ring,holding_beachball,strap_lift,legs_together,clothes_tug,ass_support,holding_behind_back,arm_across_waist,standing,holding_swimsuit,bikini_bottom_pull,strap_pull,pelvic_curtain_lift,holding_whistle,holding_towel,legs_apart,holding_racket,hand_to_head,curtain_grab,holding_shower_head,twisted_torso,adjusting_buruma,shirt_tug,holding_jacket,holding_pom_poms,holding_own_arm,lifting_own_clothes,hand_on_own_arm,hand_on_own_elbow,spread_navel,arms_under_breasts,arm_under_breasts,hands_in_hair,hand_on_own_hip,pulling_own_clothes,holding_surfboard,holding_ball,trying_on_clothes,hand_on_own_thigh,belly_grab,arms_at_sides,drying_hair,removing_jacket,leaning_forward,hands_in_pocket,armpit_peek,wading,tying_hair,jacket_lift,holding_own_tail,rabbit_pose,against_railing,arm_behind_head,arched_back,offering_hand,holding_necktie,wiping_sweat,hair_lift,adjusting_clothes,lifted_by_tail,bikini_top_pull,drying,holding_shirt,hand_in_pocket,wind_lift,dress_tug,open_skirt,holding_handcuffs,arms_behind_head,adjusting_panties,holding_ribbon,flashing,leaning_to_the_side,hand_up,skirt_tug,holding_own_hair,hand_in_own_hair,hand_on_own_chest,gyaru_v,shading_eyes,oripathy_lesion_(arknights),one-piece_swimsuit_pull,bunching_hair,untying
sweat	wiping_sweat,fanning_self,fanning_face,steaming_body,fanning,have_to_pee,smelling_armpit,sit-up,fanning_crotch,wiping_forehead,push-ups,spasm,exercising,twitching,weightlifting,paizuri_on_lap,face_in_pillow,female_orgasm,pillow_grab,in_heat,squatting_cowgirl_position,arm_held_back,aroused,happy_sex,ass_ripple,clothed_after_sex,orgasm,spread_armpit,licking_armpit,deep_penetration,sports_bra_lift,fucked_silly,spooning,prone_bone,after_fingering,collar_tug,dildo_under_panties,hands_on_another's_thighs,missionary,standing_missionary,implied_sex,suspended_congress,cleanup_fellatio,dildo_under_clothes,vibrator_on_nipple,trembling,cowgirl_position,torso_grab,holding_racket,pussy_juice_stain,upright_straddle,sexual_exercising,boy_on_top,pussy_juice_puddle,doggystyle,standing_sex,sex_from_behind,sheet_grab,peeing_self,after_masturbation,cum_overflow,rolling_eyes,hand_milking,clothed_sex,female_ejaculation,armpit_sex,nipple_pull,internal_cumshot,guided_penetration,leg_grab,reverse_upright_straddle,clitoral_stimulation,after_vaginal,pussy_juice_drip_through_clothes,moaning,bowlegged_pose,rough_sex,condom_on_penis,forced_orgasm,penis_over_eyes,bikini_bottom_aside,reverse_cowgirl_position,excessive_pussy_juice,thigh_grab,used_condom_on_penis,penis_awe,straddling,public_vibrator,pussy_juice_trail,reach-around,twitching_penis,tickle_torture,girl_on_top,implied_paizuri,stealth_masturbation,sex,handsfree_paizuri,pov_crotch,implied_futanari,vaginal
lying	on_back,on_side,on_stomach,the_pose,chest_on_pillow,head_on_pillow,lying_on_water,sunbathing,prone_bone,spooning,missionary,bed_invitation,pillow_grab,lying_on_person,feet_up,straddling_paizuri,boy_on_top,sleep_molestation,arm_pillow,lying_on_another,lifting_covers,sheet_grab,on_person,penis_on_pussy,on_bed,legs_up,fetal_position,face_in_pillow,nyotaimori,on_pillow,held_down,under_covers,pillow_hug,pull_out,m_legs,mating_press,hair_spread_out,hand_on_own_stomach,applying_sunscreen,grabbing_another's_thighs,massage,human_stacking,leg_grab,lying_on_lap,face_down,cum_on_stomach,arm_on_own_head,reverse_footjob,circle_formation,hogtie,grabbing_own_thigh,yamcha_pose_(meme),lap_pillow,ankle_grab,sleeping,assisted_rape,knees_to_chest,after_vaginal,thigh_grab,pinned,curled_up,hand_on_own_forehead,imminent_vaginal,after_sex,cum_on_pussy,skirt_around_one_leg,holding_legs,cuddling,half-spread_pussy,defloration,after_rape,head_on_arm,legs_over_head,hands_on_own_stomach,on_table,unconscious,cum_on_chest,on_floor,cum_pool,cuddling_handjob,bikini_around_one_leg,imminent_penetration,deep_penetration,on_couch,hand_on_another's_knee,just_the_tip,penis_on_stomach,leg_hold,on_ground,spreading_another's_pussy,spread_legs,cum_on_self,from_above,bra_lift,ear_cleaning,hugging_own_tail,bloomers_pull,holding_another's_leg,camisole_lift,hand_on_another's_leg
one_eye_closed	dojikko_pose,rubbing_eyes,blowing_kiss,cheek-to-cheek,yawning,v_over_eye,finger_frame,waking_up,winking_(animated),gyaru_v,double_\m/,two-finger_salute,heads_together,finger_heart,licking_another's_cheek,finger_gun,wiping_tears,heart_hands_duo,licking_another's_face,heart_in_heart_hands,group_hug,holding_water_gun,akanbe,kissing_cheek,eyelid_pull,stretching,splashing,cheek_press,heart_hands,v,tickling_armpits,salute,4-finger_heart_hands,circle_formation,cheek_poking,fingers_to_cheeks,ok_sign,locked_arms,girl_sandwich,pointing_at_viewer,shading_eyes,washing_hair,tickling,holding_microphone,wiping_face,column_lineup,sandwiched,finger_to_cheek,index_finger_raised,lineup,fallen_down,holding_magnifying_glass,raised_fist,thumbs_up,tickling_feet,finger_to_face,cheering,double_v,holding_pom_poms,cheek_squash,arm_around_shoulder,biting_ear,glomp,pointing_up,projectile_cum,poking,holding_drumsticks,shushing,double_fox_shadow_puppet,cheek_pinching,licking_ear,holding_pokemon,arm_around_neck,holding_remote_control,kissing_neck,index_fingers_raised,hand_on_own_forehead,selfie,cum_on_eyewear,makeup_brush,hug_from_behind,drying_hair,pointing_at_self,animal_hug,holding_camera,holding_sack,hand_on_another's_ear,wiping_sweat,waving,holding_pillow,pointing,facial,food_on_head,arm_hug,on_shoulder,same-sex_bathing,hand_on_another's_shoulder,cum_on_hair,pinching,hug
